lap_number,driver,lap_time_s,sector1_s,sector2_s,sector3_s,compound,tyre_life,is_personal_best
1.0,ALO,132.307,,42.485,55.21,MEDIUM,1.0,False
2.0,ALO,,44.486,70.123,48.951,MEDIUM,2.0,False
3.0,ALO,,,73.489,77.549,MEDIUM,2.0,False
4.0,ALO,144.593,78.985,39.455,26.153,MEDIUM,3.0,True
5.0,ALO,95.626,29.995,39.323,26.308,MEDIUM,4.0,True
6.0,ALO,94.496,29.883,38.632,25.981,MEDIUM,5.0,True
7.0,ALO,94.993,30.128,38.651,26.214,MEDIUM,6.0,False
8.0,ALO,94.889,30.157,38.573,26.159,MEDIUM,7.0,False
9.0,ALO,94.701,30.125,38.492,26.084,MEDIUM,8.0,False
10.0,ALO,94.211,29.932,38.406,25.873,MEDIUM,9.0,True
11.0,ALO,94.43,30.097,38.287,26.046,MEDIUM,10.0,False
12.0,ALO,94.577,30.263,38.34,25.974,MEDIUM,11.0,False
13.0,ALO,93.869,30.142,38.074,25.653,MEDIUM,12.0,True
14.0,ALO,93.677,30.015,37.992,25.67,MEDIUM,13.0,True
15.0,ALO,93.553,30.034,37.758,25.761,MEDIUM,14.0,True
16.0,ALO,93.434,29.948,37.718,25.768,MEDIUM,15.0,True
17.0,ALO,93.261,29.911,37.667,25.683,MEDIUM,16.0,True
18.0,ALO,93.396,30.002,37.755,25.639,MEDIUM,17.0,False
19.0,ALO,93.18,29.874,37.609,25.697,MEDIUM,18.0,True
20.0,ALO,93.097,29.736,37.521,25.84,MEDIUM,19.0,True
21.0,ALO,92.95,29.803,37.531,25.616,MEDIUM,20.0,True
22.0,ALO,93.179,29.906,37.597,25.676,MEDIUM,21.0,False
23.0,ALO,95.154,30.098,38.323,26.733,MEDIUM,22.0,False
24.0,ALO,93.49,29.919,38.069,25.502,MEDIUM,23.0,False
25.0,ALO,113.53,50.429,37.425,25.676,HARD,1.0,False
26.0,ALO,93.077,29.497,37.762,25.818,HARD,2.0,False
27.0,ALO,92.901,29.723,37.613,25.565,HARD,3.0,True
28.0,ALO,93.621,29.943,37.974,25.704,HARD,4.0,False
29.0,ALO,93.588,29.83,37.956,25.802,HARD,5.0,False
30.0,ALO,93.502,29.96,37.737,25.805,HARD,6.0,False
31.0,ALO,93.617,29.899,37.914,25.804,HARD,7.0,False
32.0,ALO,93.367,29.888,37.814,25.665,HARD,8.0,False
33.0,ALO,93.27,29.838,37.788,25.644,HARD,9.0,False
34.0,ALO,93.356,29.798,37.908,25.65,HARD,10.0,False
35.0,ALO,93.153,29.734,37.754,25.665,HARD,11.0,False
36.0,ALO,93.208,29.769,37.732,25.707,HARD,12.0,False
37.0,ALO,93.309,29.793,37.898,25.618,HARD,13.0,False
38.0,ALO,93.07,29.733,37.654,25.683,HARD,14.0,False
39.0,ALO,93.166,29.681,37.75,25.735,HARD,15.0,False
40.0,ALO,92.763,29.674,37.541,25.548,HARD,16.0,True
41.0,ALO,92.767,29.595,37.555,25.617,HARD,17.0,False
42.0,ALO,92.708,29.6,37.486,25.622,HARD,18.0,True
43.0,ALO,92.443,29.586,37.425,25.432,HARD,19.0,True
44.0,ALO,92.225,29.442,37.339,25.444,HARD,20.0,True
45.0,ALO,92.24,29.357,37.347,25.536,HARD,21.0,False
46.0,ALO,92.476,29.401,37.514,25.561,HARD,22.0,False
47.0,ALO,92.047,29.485,37.202,25.36,HARD,23.0,True
48.0,ALO,91.698,29.411,37.037,25.25,HARD,24.0,True
49.0,ALO,92.361,29.478,37.413,25.47,HARD,25.0,False
50.0,ALO,92.194,29.624,37.257,25.313,HARD,26.0,False
51.0,ALO,92.81,29.428,37.7,25.682,HARD,27.0,False
52.0,ALO,92.821,29.446,37.366,26.009,HARD,28.0,False
1.0,BOT,126.173,,40.519,52.904,MEDIUM,2.0,False
2.0,BOT,,44.276,71.305,44.06,MEDIUM,3.0,False
3.0,BOT,,,75.36,69.418,MEDIUM,1.0,False
4.0,BOT,,92.356,38.72,25.838,MEDIUM,2.0,False
5.0,BOT,93.727,29.484,38.388,25.855,MEDIUM,3.0,True
6.0,BOT,93.577,29.636,38.33,25.611,MEDIUM,4.0,True
7.0,BOT,93.543,29.572,38.284,25.687,MEDIUM,5.0,True
8.0,BOT,93.571,29.646,38.149,25.776,MEDIUM,6.0,False
9.0,BOT,93.096,29.558,37.925,25.613,MEDIUM,7.0,True
10.0,BOT,93.312,29.41,38.21,25.692,MEDIUM,8.0,False
11.0,BOT,93.397,29.524,38.202,25.671,MEDIUM,9.0,False
12.0,BOT,93.423,29.718,38.06,25.645,MEDIUM,10.0,False
13.0,BOT,93.38,29.737,38.02,25.623,MEDIUM,11.0,False
14.0,BOT,93.34,29.629,38.087,25.624,MEDIUM,12.0,False
15.0,BOT,92.694,29.546,37.756,25.392,MEDIUM,13.0,True
16.0,BOT,92.415,29.444,37.532,25.439,MEDIUM,14.0,True
17.0,BOT,92.454,29.424,37.696,25.334,MEDIUM,15.0,False
18.0,BOT,92.543,29.522,37.696,25.325,MEDIUM,16.0,False
19.0,BOT,92.639,29.426,37.731,25.482,MEDIUM,17.0,False
20.0,BOT,92.409,29.503,37.468,25.438,MEDIUM,18.0,True
21.0,BOT,92.488,29.394,37.7,25.394,MEDIUM,19.0,False
22.0,BOT,91.869,29.391,37.406,25.072,MEDIUM,20.0,False
23.0,BOT,112.484,49.462,37.641,25.381,HARD,1.0,False
24.0,BOT,91.988,29.119,37.543,25.326,HARD,2.0,True
25.0,BOT,91.415,29.075,37.183,25.157,HARD,3.0,True
26.0,BOT,91.52,29.128,37.216,25.176,HARD,4.0,False
27.0,BOT,91.804,29.16,37.438,25.206,HARD,5.0,False
28.0,BOT,91.651,29.29,37.194,25.167,HARD,6.0,False
