position,driver_code,driver_name,team,grid_position,status,points,laps_completed
1.0,HAM,Lewis Hamilton,Mercedes,2.0,Finished,25.0,
2.0,LEC,Charles Leclerc,Ferrari,4.0,Finished,18.0,
3.0,BOT,Valtteri Bottas,Mercedes,3.0,Finished,15.0,
4.0,NOR,Lando Norris,McLaren,5.0,Finished,12.0,
5.0,RIC,Daniel Ricciardo,McLaren,6.0,Finished,10.0,
6.0,SAI,Carlos Sainz,Ferrari,10.0,Finished,8.0,
7.0,ALO,Fernando Alonso,Alpine,7.0,Finished,6.0,
8.0,STR,Lance Stroll,Aston Martin,14.0,Finished,4.0,
9.0,OCO,Esteban Ocon,Alpine,9.0,Finished,2.0,
10.0,TSU,Yuki Tsunoda,AlphaTauri,16.0,Finished,1.0,
11.0,GAS,Pierre Gasly,AlphaTauri,11.0,Finished,0.0,
12.0,RUS,George Russell,Williams,12.0,+1 Lap,0.0,
13.0,GIO,Antonio Giovinazzi,Alfa Romeo Racing,15.0,+1 Lap,0.0,
14.0,LAT,Nicholas Latifi,Williams,17.0,+1 Lap,0.0,
15.0,RAI,Kimi Räikkönen,Alfa Romeo Racing,13.0,+1 Lap,0.0,
16.0,PER,Sergio Perez,Red Bull Racing,0.0,+1 Lap,0.0,
17.0,MAZ,Nikita Mazepin,Haas F1 Team,19.0,+1 Lap,0.0,
18.0,MSC,Mick Schumacher,Haas F1 Team,18.0,+1 Lap,0.0,
19.0,VET,Sebastian Vettel,Aston Martin,8.0,Retired,0.0,
20.0,VER,Max Verstappen,Red Bull Racing,1.0,Collision,0.0,
