time_s,distance_m,x_m,y_m,speed_kmh,throttle,brake,gear
0.0,0.1328165061295823,-1789.1099703287177,1164.6822706598355,255.41249919999998,100.0,False,6
0.014,1.1352875696672937,-1783.0,1173.0,255.5875008,100.0,False,6
0.047,3.5030555555555605,-1768.6637511064112,1192.461139612719,256.0,100.0,False,6
0.234,17.04050323343878,-1688.0,1300.0,259.89583466666664,100.0,False,6
0.287,20.90305555555556,-1664.5818401970123,1330.322442875216,261.0,100.0,False,7
0.454,33.1299567692075,-1589.0,1426.0,263.0875008,100.0,False,7
0.527,38.50305555555556,-1555.3647835124882,1467.993555083357,264.0,100.0,False,7
0.674,49.381573839554854,-1487.0,1553.0,266.19403150456725,100.0,False,7
0.728,53.41055555555556,-1461.8828400443635,1584.428859176797,267.0,100.0,False,7
0.894,65.926578484768,-1385.0,1682.0,270.458336,100.0,False,7
0.968,71.54388888888889,-1351.1343681326691,1726.187294704068,272.0,100.0,False,7
1.114,82.6674355880314,-1285.0,1815.0,273.8250016,100.0,False,7
1.208,89.87722222222222,-1242.774033580165,1873.6835699477347,275.0,100.0,False,7
1.334,99.61772518179826,-1186.0,1953.0,277.1000021333333,100.0,False,7
1.448,108.47722222222221,-1133.712801683326,2023.8805448302946,279.0,100.0,False,7
1.554,116.73256968367943,-1085.0,2090.0,279.8833344,100.0,False,7
1.688,127.21055555555554,-1024.1600528772603,2175.1113990808353,281.0,100.0,False,7
1.774,133.97272023993207,-985.0,2230.0,282.0750016,100.0,False,7
1.928,146.14388888888888,-913.8820704070727,2327.959605339782,284.0,100.0,False,7
1.994,151.37799088222852,-883.0,2370.0,284.55230217846304,100.0,False,7
2.167,165.1311111111111,-801.118894722486,2480.723800856213,286.0,100.0,False,7
2.214,168.86903264001816,-779.0,2511.0,286.1958336,100.0,False,7
2.407,184.26444444444445,-689.4456970598285,2636.3409642167585,287.0,100.0,False,7
2.434,186.43418699518173,-677.0,2654.0,287.4500010666667,100.0,False,7
2.647,203.66444444444443,-579.2008614315916,2794.355628813305,291.0,100.0,False,7
2.654,204.23164748567038,-576.0,2799.0,291.02916693333333,100.0,False,7
2.874,222.0739948048937,-476.0,2946.0,291.9458336,100.0,False,7
2.887,223.13111111111112,-470.1457816919,2954.7496813936364,292.0,100.0,False,7
3.075,238.46433522429143,-386.0,3082.0,293.34285714285716,100.0,False,7
3.167,245.99777777777777,-344.764062640711,3144.64291819307,294.0,100.0,False,7
3.295,256.51096175565493,-287.0,3232.0,295.06666666666666,100.0,False,7
3.407,265.7311111111111,-235.81121283949722,3308.415045128107,296.0,100.0,False,7
3.515,274.63333935469643,-186.0,3382.0,296.45,100.0,False,7
3.647,285.53111111111104,-124.65759887559972,3471.688213242091,297.0,100.0,False,7
3.735,292.80838026137656,-83.0,3531.0,297.3666666666667,100.0,False,7
3.887,305.3977777777777,-8.95179164023866,3632.1244914118315,298.0,100.0,False,7
3.955,311.03597048162635,25.0,3677.0,298.28333333333336,100.0,False,7
4.127,325.33111111111106,113.01770474570391,3789.7714050640566,299.0,100.0,False,7
4.175,329.3364607101221,138.0,3821.0,299.4,100.0,False,7
4.367,345.3977777777777,239.75783634075884,3944.3873501101616,301.0,100.0,False,7
4.395,347.7372017593657,255.0,3962.0,300.8833333333333,96.85,False,7
4.607,365.3977777777777,374.36135986446243,4091.2792506742835,300.0,73.0,False,7
4.615,366.06149522629835,379.0,4096.0,299.9,72.7,False,7
4.834,384.13272839946467,510.0,4219.0,297.1624992,64.4874976,False,7
4.847,385.19777777777773,518.0531901623137,4225.72000805727,297.0,64.0,False,7
5.054,402.0505126285441,651.0,4323.0,293.5499989333333,68.31250133333333,False,7
5.087,404.73111111111103,673.1233212489965,4336.974134986631,293.0,69.0,False,7
5.274,419.9137145046789,804.0,4407.0,292.22083306666667,83.0250048,False,7
5.327,424.19777777777773,843.0919950146612,4423.124845763041,292.0,87.0,False,7
5.494,437.6182611781887,971.0,4464.0,289.9124992,93.958336,False,7
5.567,443.46444444444444,1028.1112640917913,4478.333319610634,289.0,97.0,False,7
5.714,455.22016432069046,1145.0,4501.0,288.38749973333336,98.8375008,False,7
5.807,462.6644444444445,1220.1826728452645,4511.087735408286,288.0,100.0,False,7
5.934,472.8556536556808,1324.0,4520.0,288.52916693333333,100.0,False,7
6.047,481.9311111111111,1417.0008038670123,4523.78102946459,289.0,100.0,False,7
6.154,490.518190040726,1505.0,4524.0,289.0,100.0,False,7
6.287,501.1977777777778,1613.5220645406553,4520.018608384902,289.0,100.0,False,7
6.374,508.19790038531346,1684.0,4515.0,289.36250026666664,100.0,False,7
6.527,520.5311111111112,1807.0590080540123,4501.863797230268,290.0,100.0,False,7
6.594,525.9381884904491,1861.0,4495.0,290.27916693333333,100.0,False,7
6.767,539.9311111111111,2000.9934017504727,4475.432754031058,291.0,100.0,False,7
6.814,543.7463955761693,2039.0,4470.0,291.3916672,100.0,False,7
7.007,559.4644444444444,2194.384776112815,4449.160272445788,293.0,100.0,False,7
7.034,561.66667877619,2216.0,4447.0,293.13432871938824,100.0,False,7
7.208,575.8794444444445,2354.864742778381,4438.893897376766,294.0,100.0,False,7
7.254,579.6458201124416,2392.0,4438.0,294.1916672,100.0,False,7
7.448,595.5461111111111,2550.908107551189,4439.126992655666,295.0,100.0,False,7
7.474,597.6726766402174,2572.0,4440.0,294.89166613333333,100.0,False,7
7.688,615.146111111111,2742.266194798638,4455.292547676279,294.0,100.0,False,7
7.694,615.6363869606066,2747.0,4456.0,294.0,100.0,False,7
7.914,633.6078574545919,2920.0,4493.0,294.0,100.0,False,7
7.928,634.7461111111111,2930.9874044405738,4495.982372167145,294.0,100.0,False,7
8.134,651.4033348030754,3091.0,4548.0,291.4249984,100.0,False,7
8.168,654.146111111111,3116.5720128901808,4558.078325039887,291.0,100.0,False,7
8.354,669.1395851041224,3252.0,4621.0,290.22499946666665,100.0,False,7
8.408,673.4794444444444,3290.306739721871,4641.888856178392,290.0,100.0,False,7
8.574,686.7703216906548,3405.0,4713.0,288.6166656,100.0,False,7
8.648,692.6794444444445,3454.2288866123668,4747.54503618872,288.0,100.0,False,7
8.794,704.3199959826253,3548.0,4820.0,287.38912096692997,100.0,False,7
8.887,711.7330555555557,3605.5990665095155,4868.347567678283,287.0,100.0,False,7
9.014,721.8635990973104,3682.0,4937.0,287.0,100.0,False,7
9.127,730.866388888889,3748.299669408932,5000.551527849656,287.0,100.0,False,7
9.234,739.3675097517546,3810.0,5062.0,286.5541664,100.0,False,7
9.367,749.9330555555557,3885.722556860015,5138.9546532849545,286.0,100.0,False,7
9.454,756.8658544230527,3935.0,5189.0,286.0,100.0,False,7
9.647,772.1775000000001,4044.4406190139134,5297.601250635579,286.0,100.0,True,7
9.655,772.8041619887289,4049.0,5302.0,285.6666666666667,96.66666666666667,True,7
9.875,789.6858364954802,4174.0,5419.0,276.5,5.0,True,7
9.887,790.5775000000001,4180.632559055755,5425.122644782624,276.0,0.0,True,7
10.095,805.352979472347,4291.0,5526.0,256.06666666666666,0.0,True,7
10.127,807.4441666666668,4307.098390362865,5540.3985382486335,253.0,0.0,True,7
10.315,818.6100485442861,4397.0,5619.0,219.31666666666666,0.0,True,7
10.367,821.4441666666668,4420.6198319673085,5639.231983522857,210.0,0.0,True,7
10.535,829.9944787493542,4493.0,5700.0,191.4,0.0,True,7
10.647,835.366388888889,4537.369167059491,5736.087481678478,179.0,0.0,True,7
10.755,840.4021352090199,4578.0,5768.0,172.7,0.0,True,7
10.887,846.366388888889,4625.880325047853,5803.786837061725,165.0,0.0,True,7
10.975,850.2274682057637,4657.0,5825.0,160.96666666666667,0.0,True,7
11.127,856.6330555555556,4709.679122068345,5855.714595927321,154.0,0.0,True,7
11.195,859.3627494578423,4733.0,5867.0,150.31666666666666,0.0,True,7
11.367,866.0330555555556,4791.7764906277735,5888.739228459536,141.0,0.0,True,5
11.414,867.8574315569399,4808.0,5893.0,140.4124992,0.0,True,5
11.607,875.2330555555556,4875.572744083413,5903.3147631958145,138.0,0.0,True,4
