time_s,distance_m,x_m,y_m,speed_kmh,throttle,brake,gear
0.0,0.0012745688186829346,-1791.8887423285057,1158.707813429756,257.0249984,100.0,False,6
0.086,6.262879257581057,-1755.0,1209.0,259.1750016,100.0,False,6
0.239,17.46194444444444,-1689.8788045599795,1298.0807143354941,263.0,100.0,False,7
0.287,20.991012259293594,-1669.0,1326.0,263.6,100.0,False,7
0.479,35.195277777777775,-1582.030356258352,1437.7170990665354,266.0,100.0,False,7
0.507,37.28171527197938,-1569.0,1454.0,266.46666666666664,100.0,False,7
0.719,53.195277777777775,-1468.7633816633452,1577.3282946578345,270.0,100.0,False,7
0.727,53.798941879602985,-1465.0,1582.0,270.1,100.0,False,7
0.947,70.48088201154017,-1363.0,1712.0,272.85,100.0,False,7
0.959,71.39527777777778,-1357.5109338923069,1719.2712375612614,273.0,100.0,False,7
1.167,87.326264238525,-1263.0,1848.0,275.6,100.0,False,7
1.199,89.79527777777778,-1248.383049561634,1867.9174982779211,276.0,100.0,False,7
1.387,104.40289780600669,-1162.0,1985.0,279.1333333333333,100.0,False,7
1.439,108.46194444444444,-1138.103562705149,2017.4668020610243,280.0,100.0,False,7
1.607,121.61069520552047,-1061.0,2123.0,281.4,100.0,False,7
1.679,127.26194444444444,-1028.0069044843347,2168.825415444763,282.0,100.0,False,7
1.827,138.90985452498484,-960.0,2264.0,283.23333333333335,100.0,False,7
1.919,146.19527777777776,-917.2918345602827,2323.5831367113165,284.0,100.0,False,7
2.046,156.32974727901404,-858.0,2406.0,286.1166677333333,100.0,False,7
2.159,165.39527777777775,-805.2160293431962,2479.060665671938,288.0,100.0,False,7
2.266,174.00011375158425,-755.0,2548.0,288.8916672,100.0,False,7
2.399,184.7286111111111,-692.013103432842,2633.4057886711394,290.0,100.0,False,7
2.486,191.7696108572856,-651.0,2690.0,290.72500053333334,100.0,False,7
2.639,204.19527777777773,-579.9261070332632,2792.0236971768645,292.0,100.0,False,7
2.706,209.65326287909778,-549.0,2837.0,292.55833386666666,100.0,False,7
2.879,223.79527777777776,-469.41200109367514,2953.05466886494,294.0,100.0,False,7
2.926,227.65044785308777,-448.0,2985.0,294.3916672,100.0,False,7
3.119,243.5286111111111,-361.1314196347992,3118.3971289579113,296.0,100.0,False,7
3.146,245.75323083053624,-349.0,3137.0,296.11250026666664,100.0,False,7
3.359,263.32861111111106,-252.26585120500084,3282.235919046461,297.0,100.0,False,7
3.366,263.90712088315445,-249.0,3287.0,297.02916693333333,100.0,False,7
3.586,282.11771856558823,-144.0,3437.0,297.9458336,100.0,False,7
3.599,283.19527777777773,-137.82561607125,3445.878500794963,298.0,100.0,False,7
3.806,300.3804427878933,-40.0,3587.0,298.86250026666664,100.0,False,7
