time_s,distance_m,x_m,y_m,speed_kmh,throttle,brake,gear
0.0,0.1442821284725433,-1802.4875830749274,1147.612592776432,254.3250048,100.0,False,6
0.013,1.0755486481137448,-1797.0,1155.0,254.6500032,100.0,False,6
0.147,10.690000000000001,-1740.0384721627163,1231.1504467919751,258.0,100.0,False,6
0.233,16.875305507216638,-1703.0,1280.0,258.71666773333334,99.64166613333333,False,6
0.387,28.023333333333333,-1635.539429892579,1367.4197792867228,260.0,99.0,False,7
0.453,32.85441175566721,-1606.0,1405.0,261.37500266666666,99.0,False,7
0.627,45.69,-1526.226177643851,1504.6002160738958,265.0,99.0,False,7
0.673,49.08354026274253,-1505.0,1531.0,265.1916672,99.0,False,7
0.867,63.42333333333333,-1415.8289114188915,1642.815022818058,266.0,99.0,False,7
0.893,65.35785425095693,-1404.0,1658.0,266.4333354666667,99.10833386666667,False,7
1.107,81.42333333333333,-1307.6984039755762,1785.369921544068,270.0,100.0,False,7
1.113,81.87794699073612,-1305.0,1789.0,270.12500266666666,99.97499946666667,False,7
1.333,98.68257371257253,-1206.0,1924.0,274.708336,99.0583328,False,7
1.347,99.75666666666666,-1199.7439746750008,1932.677442152108,275.0,99.0,False,7
1.553,115.60021386320567,-1108.0,2061.0,276.71666773333334,99.0,False,7
1.587,118.22333333333333,-1092.6938196448227,2082.176896541851,277.0,99.0,False,7
1.773,132.62143900889777,-1008.0,2198.0,278.55000106666665,99.0,False,7
1.827,136.82333333333332,-983.2547321222,2231.7316668653066,279.0,99.0,False,7
1.993,149.810193521247,-907.0,2336.0,281.0750016,99.0,False,7
2.067,155.62333333333333,-873.057742948914,2382.9368511181337,282.0,99.0,False,7
2.213,167.1244599392081,-806.0,2476.0,283.21666773333334,99.0,False,7
2.307,174.55666666666664,-762.5260966364558,2535.7912556048786,284.0,99.0,False,7
2.414,183.0462813595434,-713.0,2604.0,284.8916672,99.0,False,7
2.547,193.62333333333333,-651.8147353493766,2689.5029449387753,286.0,99.0,False,7
2.634,200.54296922918869,-612.0,2746.0,286.36250026666664,99.36250026666667,False,7
2.787,212.75666666666666,-542.3560240255396,2846.5980383454057,287.0,100.0,False,7
2.854,218.14868633477437,-512.0,2891.0,288.1166677333333,99.72083306666667,False,7
3.027,232.15666666666667,-434.03248011677715,3006.4088987490723,291.0,99.0,False,7
3.074,235.96635573251575,-413.0,3038.0,291.1958336,99.1958336,False,7
3.267,251.6233333333333,-327.1062156430875,3168.694423171964,292.0,100.0,False,8
3.294,253.81643745553015,-315.0,3187.0,292.11250026666664,100.0,False,8
3.507,271.15666666666664,-218.20887525830528,3331.255936178459,293.0,100.0,False,8
3.514,271.72848411234304,-215.0,3336.0,293.05833386666666,99.97083306666667,False,8
3.734,289.75662790075125,-113.0,3485.0,294.8916672,99.0541664,False,8
3.747,290.82333333333327,-106.84873779016414,3493.7560991956816,295.0,99.0,False,8
3.954,307.8317578535388,-7.0,3632.0,295.86250026666664,99.0,False,8
3.987,310.5566666666666,9.129977926654053,3653.7749022614103,296.0,99.0,False,8
4.174,326.08217629589035,102.0,3776.0,298.3375008,99.0,False,8
4.227,330.48999999999995,129.12403716346776,3810.4679122076204,299.0,99.0,False,8
4.394,344.3701567014191,217.0,3918.0,299.0,99.5964288,False,8
4.507,353.7455555555555,278.31455709302645,3988.738017372493,299.0,100.0,False,8
4.614,362.6057866730597,338.0,4054.0,298.5541664,100.0,False,8
4.747,373.61222222222216,414.74306992303246,4132.585938557597,298.0,100.0,False,8
4.833,380.73714832585006,466.0,4181.0,298.0,100.0,False,8
4.987,393.47888888888883,561.2837002280398,4261.552177982312,298.0,100.0,False,8
5.053,398.9140376514898,604.0,4293.0,297.44999893333335,100.0,False,8
5.227,413.2122222222222,722.9502806584659,4365.99255695147,296.0,100.0,False,8
5.273,417.00350527385683,756.0,4383.0,296.1916672,98.6583296,False,8
5.467,433.01222222222214,902.6089420928088,4444.20984308241,297.0,93.0,False,8
5.493,435.15032585755125,923.0,4451.0,296.78333226666666,92.78333226666666,False,8
5.707,452.6788888888888,1096.0638519219629,4494.09206004497,295.0,91.0,False,8
5.713,453.16939495684784,1101.0,4495.0,294.9748948686474,91.2259461821734,False,8
5.933,471.1357737807168,1284.0,4518.0,294.0543930230914,99.51046279217732,False,8
5.946,472.19722222222214,1294.9070752334585,4518.797307442072,294.0,100.0,False,8
6.153,489.1020376234718,1469.0,4524.0,294.0,100.0,False,8
6.186,491.79722222222216,1496.5449021907486,4523.707920591079,294.0,100.0,False,8
6.373,507.0696570910038,1651.0,4517.0,294.0,100.0,False,8
6.427,511.4788888888888,1695.0612019849934,4513.739360242484,294.0,100.0,False,8
6.593,525.0307680141522,1830.0,4500.0,294.0,100.0,False,8
6.667,531.0788888888887,1890.7922256933587,4491.913868918206,294.0,100.0,False,8
6.813,543.033414640637,2011.0,4474.0,294.60833386666667,100.0,False,8
6.907,550.7455555555554,2087.3745346485875,4462.865413535203,295.0,100.0,False,8
7.033,561.1021717765478,2189.0,4450.0,295.52500053333335,99.47499946666667,False,8
7.147,570.4788888888887,2280.956941233782,4442.189503686288,296.0,99.0,False,8
7.253,579.1935453013292,2367.0,4438.0,296.0,99.0,False,8
7.387,590.212222222222,2477.1020633101853,4436.658766879626,296.0,99.0,False,8
7.473,597.290635156611,2547.0,4438.0,296.0,99.0,False,8
7.627,609.9455555555553,2669.1196449078225,4444.85684441142,296.0,99.0,False,8
7.693,615.3416007817744,2723.0,4451.0,295.44999893333335,99.0,False,8
7.867,629.5455555555553,2872.4009180652406,4478.543818296422,294.0,99.0,False,8
7.913,633.3199328476613,2911.0,4488.0,294.3833344,99.0,False,8
8.107,649.2788888888886,3064.1404095472994,4536.45369615998,296.0,99.0,False,8
8.133,651.4087601596008,3084.0,4544.0,295.78333226666666,99.0,False,8
8.347,668.8788888888886,3243.6355598572504,4615.730406889593,294.0,99.0,False,8
8.353,669.3695558054968,3248.0,4618.0,294.02500053333335,99.0,False,8
8.573,687.3993398331125,3404.0,4711.0,294.9416672,99.0,False,8
8.587,688.5455555555552,3413.719808197058,4717.5410317344995,295.0,99.0,False,8
8.793,705.3735375850737,3553.0,4821.0,294.14166613333333,99.0,False,8
8.827,708.1455555555552,3574.8596468141504,4838.905753584462,294.0,99.0,False,8
8.994,721.7425486214569,3678.0,4930.0,293.3041664,99.0,False,8
9.067,727.6788888888885,3721.9494309115044,4971.856811896193,293.0,99.0,False,8
9.214,739.6210481952613,3809.0,5059.0,292.38749973333336,99.0,False,8
9.307,747.1455555555552,3863.369913726241,5114.974897001858,292.0,99.0,False,8
9.434,757.3625547290571,3937.0,5191.0,290.94166613333334,99.0,False,8
9.547,766.4788888888886,4002.211964115199,5256.523061894576,290.0,99.0,False,8
9.654,775.1976336494602,4064.0,5317.0,288.6624992,66.00831360000001,False,8
9.787,785.6122222222219,4141.146585785825,5390.370348147763,287.0,25.0,True,8
9.874,791.7815385626019,4190.0,5436.0,270.32498773333333,15.937493333333334,True,8
10.027,801.6788888888885,4270.416013216632,5509.958845391212,241.0,0.0,True,8
10.094,805.8015944511191,4304.0,5540.0,233.18332586666668,0.0,True,8
10.267,815.8788888888886,4386.851340906576,5611.2463679559405,213.0,0.0,True,7
10.314,818.4754990315689,4408.0,5629.0,208.2999936,0.0,True,7
10.507,828.4788888888886,4488.331103646626,5695.276027660993,189.0,0.0,True,7
10.534,829.7874902972961,4499.0,5704.0,186.2999936,0.0,True,7
10.747,839.4788888888886,4578.5869488806275,5768.133050531189,165.0,0.0,True,7
10.754,839.7875886850236,4581.0,5770.0,164.67916373333333,0.11666773333333333,True,7
10.974,849.2137718600954,4652.0,5821.0,154.5958304,3.7833344,True,7
10.987,849.7455555555553,4656.2599332741065,5823.768850501995,154.0,4.0,True,6
11.194,857.8270372620672,4726.0,5864.0,141.92499626666665,4.0,True,6
11.227,859.0788888888886,4736.9161399994555,5869.14377157078,140.0,4.0,True,4
11.413,866.0298270983236,4798.0,5891.0,135.3499968,4.0,True,4
11.467,868.012222222222,4816.554416049763,5895.364286824421,134.0,4.0,True,4
11.633,874.0009242438764,4875.0,5904.0,130.541664,4.0,True,4
11.707,876.612222222222,4900.4202473616415,5906.058191393093,129.0,4.0,True,4
11.853,881.6505646777829,4950.0,5906.0,125.3499968,1.5666645333333333,True,4
11.947,884.812222222222,4982.491480625458,5901.967974145837,123.0,0.0,True,4
12.073,888.9471762175048,5025.0,5893.0,119.8499968,0.0,True,4
12.187,892.6122222222219,5060.146542615492,5883.1633220476515,117.0,0.0,False,4
12.293,895.9750986446479,5091.0,5872.0,115.2333312,0.0,False,4
12.427,900.1455555555552,5128.788739635106,5854.371110929296,113.0,0.0,False,4
12.513,902.7612430337822,5152.0,5841.0,111.56066769923542,14.753156082836865,False,4
12.666,907.3819444444441,5190.8532808242235,5813.328302554572,109.0,41.0,False,4
