time_s,distance_m,x_m,y_m,speed_kmh,throttle,brake,gear
0.0,0.07099280137973629,-1794.3867171800368,1156.256573635713,254.59166720000002,99.0,False,6
0.049,3.5769444444444485,-1773.819736909473,1184.5139633028975,255.0,99.0,False,6
0.197,14.273500008122426,-1711.0,1270.0,258.7,99.0,False,6
0.289,20.97694444444445,-1671.4192344838195,1323.2428949195496,261.0,99.0,False,6
0.417,30.347887161167222,-1615.0,1397.0,262.6,99.0,False,6
0.529,38.57694444444445,-1563.5069715790178,1460.6711653304267,264.0,99.0,False,7
0.637,46.52805474296264,-1513.0,1522.0,264.9,99.0,False,7
0.769,56.310277777777785,-1451.4878607130158,1597.7841080177718,266.0,99.0,False,7
0.857,62.902192486115,-1411.0,1649.0,267.8333333333333,99.0,False,7
1.009,74.37694444444443,-1342.49451834343,1739.0372629637989,271.0,99.0,False,7
1.077,79.52017937097892,-1312.0,1780.0,271.56666666666666,99.0,False,7
1.249,92.57694444444445,-1234.5986842462114,1885.3956284815206,273.0,99.0,False,7
1.297,96.243147216703,-1213.0,1915.0,273.6,99.0,False,7
1.489,110.97694444444446,-1126.6522953618107,2033.6514220561749,276.0,99.0,False,7
1.517,113.12649774725769,-1114.0,2051.0,276.1166666666667,99.0,False,7
1.729,129.44361111111112,-1017.6374004333516,2182.980267810689,277.0,99.0,False,7
1.737,130.06405325768822,-1014.0,2188.0,277.1333333333333,99.0,False,7
1.957,147.24015202405505,-914.0,2327.0,280.8,99.0,False,7
1.969,148.17694444444447,-908.5234706753516,2334.5860282525027,281.0,99.0,False,7
2.177,164.39856484432997,-813.0,2466.0,281.0,99.0,False,7
2.209,166.91027777777782,-798.1833443370908,2486.2801009565655,281.0,99.0,False,7
2.397,181.78942747913467,-711.0,2606.0,284.74129472359635,99.0,False,7
2.41,182.82277777777782,-705.0281991829359,2614.325756356348,285.0,99.0,False,7
2.617,199.32141136683,-611.0,2748.0,286.72500053333334,99.0,False,7
2.65,201.9561111111111,-596.1005468368132,2769.5808314767905,287.0,99.0,False,7
2.837,216.90534217371157,-512.0,2893.0,287.77916693333333,99.0,False,7
2.89,221.15611111111113,-488.28393338018935,2928.0750330474852,288.0,99.0,False,7
3.057,234.60029828341743,-414.0,3039.0,289.3916672,99.0,False,7
3.13,240.48944444444444,-381.81386034725136,3087.9361909844224,290.0,99.0,False,7
3.277,252.358797540691,-317.0,3187.0,290.61250026666664,99.0,False,7
3.37,259.88944444444445,-275.40396978507476,3249.630890140594,291.0,99.0,False,7
3.497,270.21292134514505,-218.0,3335.0,292.05833386666666,99.0,False,7
3.61,279.42277777777775,-166.5760416768299,3410.7119947037518,293.0,99.0,False,7
3.717,288.1538146111056,-117.0,3482.0,293.4458336,99.0,False,7
3.85,299.0227777777778,-53.443657158893345,3569.828583824445,294.0,99.0,False,7
3.937,306.14422871326616,-11.0,3627.0,294.36250026666664,99.0,False,7
4.09,318.6894444444444,64.80572436388455,3727.1042354849315,295.0,99.0,False,7
4.157,324.19099503725647,98.0,3770.0,295.27916693333333,99.0,False,7
4.33,338.42277777777775,184.61827110854892,3878.4954260004342,296.0,99.0,False,7
4.377,342.29751896577596,211.0,3910.0,296.1958336,99.0,False,7
4.57,358.22277777777776,335.1922214723303,4050.2123863631837,297.0,99.0,False,7
4.597,360.446889106531,353.0,4069.0,296.88749973333336,99.0,False,7
4.798,376.9708139677661,483.0,4194.0,296.05,99.0,False,7
4.81,377.95611111111106,490.6588503540037,4200.652168257482,296.0,99.0,False,7
5.018,395.00848121122584,624.0,4303.0,295.1333333333333,99.0,False,7
5.05,397.62277777777774,645.3374276096739,4317.057797947426,295.0,99.0,False,7
5.238,412.92702618380275,777.0,4391.0,293.43333333333334,99.0,False,7
5.29,417.1561111111111,815.6082758595437,4408.556649236435,293.0,99.0,False,7
5.457,430.7464407163934,945.0,4456.0,293.0,99.0,False,7
5.53,436.68944444444446,1003.0958701500383,4472.233660143211,293.0,99.0,False,7
5.677,448.6586644010779,1122.0,4497.0,293.0,99.0,False,7
5.77,456.22277777777776,1197.8475401635228,4507.687050906072,293.0,99.0,False,7
5.897,466.5334588909622,1302.0,4517.0,292.47083306666667,99.0,False,7
6.01,475.68944444444446,1395.0471547247846,4521.302383302547,292.0,99.0,False,7
6.117,484.34374194353137,1483.0,4522.0,291.5523011073336,99.0,False,7
6.249,495.0086111111111,1590.6895712922355,4518.44600288125,291.0,99.0,False,7
6.337,502.11838096654907,1662.0,4514.0,291.0,99.0,False,7
6.489,514.4086111111111,1784.3397694843654,4503.246618765527,291.0,99.0,False,7
6.557,519.916743183287,1839.0,4497.0,291.28333333333336,99.0,False,7
6.729,533.8752777777778,1977.443353072898,4477.495668816528,292.0,99.0,False,7
6.777,537.776576178769,2016.0,4472.0,292.2,99.0,False,7
6.969,553.4086111111111,2169.641787538629,4452.337475218418,293.0,99.0,False,7
6.997,555.6922478970957,2192.0,4450.0,293.1166666666667,99.0,False,7
7.209,573.008611111111,2361.5449270802737,4438.188360969739,294.0,99.0,False,7
7.217,573.6624691204275,2368.0,4438.0,294.0,99.0,False,7
7.437,591.6315189064157,2547.0,4440.0,294.0,99.0,False,7
7.449,592.608611111111,2556.749230235301,4440.400027681217,294.0,99.0,False,7
7.657,609.484699436187,2724.0,4453.0,292.26666666666665,99.0,False,7
7.689,612.0752777777777,2749.17212136389,4456.471222545466,292.0,99.0,False,7
7.877,627.2764066544314,2895.0,4486.0,291.21666666666664,99.0,False,7
7.929,631.4752777777777,2935.5771116009637,4496.788812787412,291.0,99.0,False,7
8.097,645.021612137194,3066.0,4539.0,290.3,99.0,False,7
8.169,650.8086111111111,3119.906696513911,4560.265280445281,290.0,99.0,False,7
8.317,662.6588868851152,3227.0,4610.0,288.76666666666665,99.0,False,7
8.409,670.0086111111111,3291.5663997049423,4645.119541506479,288.0,99.0,False,7
8.537,680.2256835884963,3379.0,4699.0,287.46666666666664,99.0,False,7
8.649,689.1419444444443,3453.3571675580642,4750.496694133354,287.0,99.0,False,7
8.757,697.7067448965314,3523.0,4803.0,286.1,99.0,False,7
8.889,708.1419444444443,3605.1587964789996,4869.699662538698,285.0,99.0,False,7
8.977,715.0867399233591,3658.0,4916.0,284.5621889153238,99.0,False,7
9.09,723.998611111111,3723.4825306281427,4977.852838398588,284.0,99.0,False,7
9.197,732.4416038829695,3784.0,5038.0,284.0,99.0,False,7
9.33,742.9319444444444,3858.4644664087773,5113.696831802988,284.0,99.0,False,7
9.417,749.7841590427852,3907.0,5163.0,283.63749973333336,98.63749973333333,False,7
9.57,761.7986111111111,3992.436179026024,5248.229275658011,283.0,98.0,False,7
9.637,767.0354833329726,4030.0,5285.0,281.8833322666667,71.75830826666666,False,7
9.81,780.3986111111111,4127.522399137185,5378.3022699989015,279.0,4.0,True,7
9.857,783.9525730950983,4154.0,5403.0,275.6708288,3.2166656,True,7
10.05,797.8652777777778,4261.502285000477,5500.253609092128,262.0,0.0,True,7
10.077,799.6504507107817,4276.0,5513.0,257.1624885333333,0.0,True,7
10.29,812.4652777777777,4383.689714166176,5605.188608704101,219.0,0.0,True,7
10.297,812.8630813982538,4387.0,5608.0,218.2999936,0.0,True,7
10.517,824.7926481938291,4484.0,5690.0,196.2999936,0.0,True,7
10.53,825.4652777777777,4489.41166497197,5694.485147683615,195.0,0.0,True,7
10.737,835.6758526205446,4572.0,5761.0,178.61249493333332,0.0,True,7
10.77,837.1986111111111,4584.723259318285,5770.87302554504,176.0,0.0,True,7
10.957,845.2758559603262,4655.0,5822.0,158.85832746666665,0.0,True,7
