time_s,distance_m,x_m,y_m,speed_kmh,throttle,brake,gear
0.0,0.025371018314115854,-1797.0466433777906,1151.674684584239,253.4374944,99.0,False,6
0.071,5.142100572223533,-1767.0,1193.0,255.5083296,99.0,False,6
0.225,16.279166666666665,-1701.6033528864941,1282.6633579065233,260.0,99.0,False,6
0.291,21.068445625668286,-1673.0,1321.0,260.5499989333333,99.0,False,6
0.465,33.74583333333333,-1595.1272165829932,1421.5872421615684,262.0,99.0,False,7
0.511,37.11144038051068,-1574.0,1448.0,262.6865654723393,99.0,False,7
0.666,48.541666666666664,-1501.4071954551525,1536.496716375382,265.0,99.0,False,7
0.731,53.41389662180181,-1471.0,1574.0,266.89583146666666,99.0,False,7
0.906,66.675,-1390.4365646257388,1677.1274117882215,272.0,99.0,False,7
0.951,70.07719329715627,-1370.0,1704.0,272.0,99.0,False,7
1.146,84.80833333333332,-1282.3071074966058,1821.745565626413,272.0,99.0,False,7
1.171,86.7066759495816,-1271.0,1837.0,272.3124992,99.0,False,7
1.386,103.14166666666665,-1172.8236425368734,1969.519814312565,275.0,99.0,False,7
1.39,103.44907657503896,-1171.0,1972.0,275.05,99.0,False,7
1.61,120.43532008653449,-1071.0,2109.0,277.8,99.0,False,7
1.626,121.67499999999998,-1063.6900752082074,2119.004989569373,278.0,99.0,False,7
1.83,137.5294957635977,-970.0,2247.0,279.7,99.0,False,7
1.866,140.34166666666667,-953.4797801256112,2269.654805637879,280.0,99.0,False,7
2.05,154.79132268476596,-869.0,2386.0,282.3,99.0,False,7
2.106,159.20833333333331,-843.1009896940328,2421.7612273590557,283.0,99.0,False,7
2.27,172.18453808122237,-767.0,2527.0,284.3666666666667,99.0,False,7
2.346,178.20833333333334,-731.9171378431852,2575.5532775208344,285.0,99.0,False,7
2.49,189.62996307155865,-666.0,2668.0,285.6,99.0,False,7
2.586,197.27499999999998,-622.6475811265464,2730.993539098777,286.0,99.0,False,7
2.71,207.20764213213053,-567.0,2813.0,287.55,99.0,False,7
2.826,216.54166666666666,-514.8245038785224,2889.0877772433355,289.0,99.0,False,7
2.911,223.3974732170724,-476.0,2946.0,289.7083328,99.0,False,7
3.066,235.94166666666663,-403.27164108933226,3054.495288864915,291.0,99.0,False,7
3.131,241.22249246027434,-373.0,3100.0,291.5416661333333,99.0,False,7
3.306,255.475,-293.845170524827,3219.24602411139,293.0,99.0,False,7
3.351,259.1379329775976,-274.0,3249.0,293.0,99.0,False,7
3.546,275.0083333333333,-189.2013387175912,3374.674088081735,293.0,99.0,False,7
3.571,277.0456412883445,-178.0,3391.0,293.1046022146672,99.0,False,7
3.785,294.5266666666667,-77.85338746991417,3534.004766082032,294.0,99.0,False,7
3.791,295.01837491475936,-75.0,3538.0,294.0499989333333,99.0,False,7
4.011,313.10642661914625,32.0,3684.0,295.8833322666667,99.0,False,7
4.025,314.26000000000005,39.223859602072274,3693.5162313647174,296.0,99.0,False,7
4.231,331.2544344550076,148.0,3833.0,296.8583328,99.0,False,7
4.265,334.06,164.60757821715598,3853.9846337057706,297.0,99.0,False,7
4.451,349.4042952699871,258.0,3967.0,297.0,99.0,False,7
