lap_number,driver,lap_time_s,sector1_s,sector2_s,sector3_s,compound,tyre_life,is_personal_best
1.0,ALB,91.965,,32.089,29.091,MEDIUM,1.0,False
2.0,ALB,87.011,28.097,29.802,29.112,MEDIUM,2.0,True
3.0,ALB,86.282,27.753,29.699,28.83,MEDIUM,3.0,False
4.0,ALB,86.527,27.873,29.932,28.722,MEDIUM,4.0,False
5.0,ALB,86.039,27.704,29.522,28.813,MEDIUM,5.0,True
6.0,ALB,85.946,27.696,29.633,28.617,MEDIUM,6.0,True
7.0,ALB,85.99,27.815,29.4,28.775,MEDIUM,7.0,False
8.0,ALB,85.963,27.8,29.64,28.523,MEDIUM,8.0,False
9.0,ALB,85.666,27.709,29.21,28.747,MEDIUM,9.0,True
10.0,ALB,85.711,27.728,29.351,28.632,MEDIUM,10.0,False
11.0,ALB,85.734,27.781,29.309,28.644,MEDIUM,11.0,False
12.0,ALB,85.468,27.873,29.147,28.448,MEDIUM,12.0,True
13.0,ALB,85.533,27.847,29.199,28.487,MEDIUM,13.0,False
14.0,ALB,86.14,27.867,29.548,28.725,MEDIUM,14.0,False
15.0,ALB,86.463,27.962,29.723,28.778,MEDIUM,15.0,False
16.0,ALB,86.454,27.943,29.673,28.838,MEDIUM,16.0,False
17.0,ALB,91.436,28.179,29.786,33.471,MEDIUM,17.0,False
18.0,ALB,106.033,48.251,29.26,28.522,HARD,1.0,False
19.0,ALB,85.254,27.568,29.119,28.567,HARD,2.0,True
20.0,ALB,85.074,27.5,29.177,28.397,HARD,3.0,True
21.0,ALB,84.86,27.522,29.035,28.303,HARD,4.0,True
22.0,ALB,85.053,27.58,29.14,28.333,HARD,5.0,False
23.0,ALB,85.132,27.558,29.162,28.412,HARD,6.0,False
24.0,ALB,85.196,27.686,28.859,28.651,HARD,7.0,False
25.0,ALB,84.707,27.264,29.156,28.287,HARD,8.0,True
26.0,ALB,85.065,27.546,29.142,28.377,HARD,9.0,False
27.0,ALB,84.949,27.505,28.968,28.476,HARD,10.0,False
28.0,ALB,84.793,27.521,28.972,28.3,HARD,11.0,False
29.0,ALB,84.871,27.545,29.147,28.179,HARD,12.0,False
30.0,ALB,84.754,27.544,28.966,28.244,HARD,13.0,False
31.0,ALB,85.229,27.602,28.955,28.672,HARD,14.0,False
32.0,ALB,84.412,27.323,28.978,28.111,HARD,15.0,True
33.0,ALB,86.282,28.247,29.671,28.364,HARD,16.0,False
34.0,ALB,85.57,27.601,29.476,28.493,HARD,17.0,False
35.0,ALB,84.994,27.546,29.139,28.309,HARD,18.0,False
36.0,ALB,84.748,27.631,29.016,28.101,HARD,19.0,False
37.0,ALB,85.882,28.366,29.494,28.022,HARD,20.0,False
38.0,ALB,85.214,27.548,29.198,28.468,HARD,21.0,False
39.0,ALB,84.971,27.542,29.037,28.392,HARD,22.0,False
40.0,ALB,84.552,27.456,28.868,28.228,HARD,23.0,False
41.0,ALB,84.372,27.453,28.878,28.041,HARD,24.0,True
42.0,ALB,84.874,27.618,29.086,28.17,HARD,25.0,False
43.0,ALB,84.669,27.532,29.062,28.075,HARD,26.0,False
44.0,ALB,84.678,27.53,28.987,28.161,HARD,27.0,False
45.0,ALB,84.569,27.484,29.006,28.079,HARD,28.0,False
46.0,ALB,84.554,27.559,28.951,28.044,HARD,29.0,False
47.0,ALB,84.383,27.573,28.781,28.029,HARD,30.0,False
48.0,ALB,84.149,27.501,28.775,27.873,HARD,31.0,True
49.0,ALB,84.262,27.63,28.688,27.944,HARD,32.0,False
50.0,ALB,83.956,27.419,28.689,27.848,HARD,33.0,True
51.0,ALB,83.921,27.464,28.577,27.88,HARD,34.0,True
52.0,ALB,83.955,27.519,28.614,27.822,HARD,35.0,False
53.0,ALB,83.918,27.501,28.675,27.742,HARD,36.0,True
1.0,ALO,92.411,,32.154,29.198,MEDIUM,2.0,False
2.0,ALO,87.236,28.2,29.932,29.104,MEDIUM,3.0,True
3.0,ALO,86.41,27.646,29.926,28.838,MEDIUM,4.0,True
4.0,ALO,86.411,27.728,29.844,28.839,MEDIUM,5.0,False
5.0,ALO,86.218,27.846,29.573,28.799,MEDIUM,6.0,True
6.0,ALO,85.911,27.675,29.468,28.768,MEDIUM,7.0,True
7.0,ALO,85.95,27.644,29.453,28.853,MEDIUM,8.0,False
8.0,ALO,85.693,27.692,29.426,28.575,MEDIUM,9.0,True
9.0,ALO,85.969,27.763,29.441,28.765,MEDIUM,10.0,False
10.0,ALO,85.832,27.776,29.322,28.734,MEDIUM,11.0,False
11.0,ALO,85.758,27.679,29.305,28.774,MEDIUM,12.0,False
12.0,ALO,89.74,27.725,29.375,32.64,MEDIUM,13.0,False
13.0,ALO,105.594,47.982,29.068,28.544,HARD,2.0,False
14.0,ALO,85.832,28.319,29.115,28.398,HARD,3.0,False
15.0,ALO,84.67,27.354,29.014,28.302,HARD,4.0,True
16.0,ALO,84.614,27.417,28.89,28.307,HARD,5.0,True
17.0,ALO,84.574,27.359,28.999,28.216,HARD,6.0,True
18.0,ALO,84.882,27.422,29.308,28.152,HARD,7.0,False
19.0,ALO,85.314,27.727,29.237,28.35,HARD,8.0,False
20.0,ALO,85.676,27.65,29.606,28.42,HARD,9.0,False
21.0,ALO,85.297,27.651,29.091,28.555,HARD,10.0,False
22.0,ALO,85.451,28.055,29.253,28.143,HARD,11.0,False
23.0,ALO,85.017,27.751,29.089,28.177,HARD,12.0,False
24.0,ALO,84.588,27.58,29.009,27.999,HARD,13.0,False
25.0,ALO,84.504,27.542,28.839,28.123,HARD,14.0,True
26.0,ALO,84.937,27.635,28.905,28.397,HARD,15.0,False
27.0,ALO,84.891,27.614,29.047,28.23,HARD,16.0,False
28.0,ALO,84.725,27.7,28.845,28.18,HARD,17.0,False
29.0,ALO,85.011,27.785,28.998,28.228,HARD,18.0,False
30.0,ALO,85.039,27.817,28.996,28.226,HARD,19.0,False
31.0,ALO,85.128,27.745,29.032,28.351,HARD,20.0,False
32.0,ALO,85.099,27.842,29.023,28.234,HARD,21.0,False
33.0,ALO,85.289,27.861,29.179,28.249,HARD,22.0,False
34.0,ALO,85.083,27.763,29.148,28.172,HARD,23.0,False
35.0,ALO,89.799,27.731,29.264,32.804,HARD,24.0,False
36.0,ALO,104.152,47.393,28.833,27.926,HARD,3.0,False
37.0,ALO,83.703,27.43,28.449,27.824,HARD,4.0,True
38.0,ALO,83.847,27.472,28.537,27.838,HARD,5.0,False
39.0,ALO,83.77,27.414,28.622,27.734,HARD,6.0,False
40.0,ALO,83.683,27.398,28.521,27.764,HARD,7.0,True
41.0,ALO,83.822,27.354,28.585,27.883,HARD,8.0,False
42.0,ALO,83.637,27.363,28.5,27.774,HARD,9.0,True
43.0,ALO,83.681,27.266,28.682,27.733,HARD,10.0,False
44.0,ALO,83.529,27.417,28.44,27.672,HARD,11.0,True
45.0,ALO,83.484,27.352,28.464,27.668,HARD,12.0,True
46.0,ALO,82.944,27.073,28.365,27.506,HARD,13.0,True
47.0,ALO,83.221,27.393,28.327,27.501,HARD,14.0,False
48.0,ALO,83.245,27.312,28.373,27.56,HARD,15.0,False
49.0,ALO,83.525,27.385,28.457,27.683,HARD,16.0,False
50.0,ALO,83.511,27.427,28.412,27.672,HARD,17.0,False
51.0,ALO,83.468,27.463,28.459,27.546,HARD,18.0,False
52.0,ALO,83.761,27.419,28.553,27.789,HARD,19.0,False
53.0,ALO,83.686,27.435,28.394,27.857,HARD,20.0,False
1.0,BOT,96.375,,32.75,30.44,HARD,2.0,False
2.0,BOT,88.377,28.513,30.846,29.018,HARD,3.0,True
3.0,BOT,86.918,28.06,30.139,28.719,HARD,4.0,True
4.0,BOT,86.324,27.719,29.733,28.872,HARD,5.0,True
5.0,BOT,88.242,27.926,31.159,29.157,HARD,6.0,False
6.0,BOT,86.499,28.073,29.845,28.581,HARD,7.0,False
7.0,BOT,86.359,28.19,29.477,28.692,HARD,8.0,False
8.0,BOT,86.206,28.05,29.472,28.684,HARD,9.0,True
9.0,BOT,86.188,27.997,29.535,28.656,HARD,10.0,True
10.0,BOT,86.118,28.035,29.428,28.655,HARD,11.0,True
11.0,BOT,86.47,28.107,29.584,28.779,HARD,12.0,False
12.0,BOT,86.207,28.073,29.496,28.638,HARD,13.0,False
13.0,BOT,86.349,28.165,29.538,28.646,HARD,14.0,False
14.0,BOT,86.481,28.236,29.624,28.621,HARD,15.0,False
15.0,BOT,86.79,28.065,29.971,28.754,HARD,16.0,False
16.0,BOT,86.569,28.039,29.727,28.803,HARD,17.0,False
17.0,BOT,86.396,28.035,29.612,28.749,HARD,18.0,False
18.0,BOT,86.359,28.073,29.598,28.688,HARD,19.0,False
19.0,BOT,86.456,28.074,29.546,28.836,HARD,20.0,False
20.0,BOT,86.803,28.154,29.728,28.921,HARD,21.0,False
21.0,BOT,87.23,28.47,29.93,28.83,HARD,22.0,False
22.0,BOT,87.404,28.527,30.062,28.815,HARD,23.0,False
23.0,BOT,86.943,28.218,29.95,28.775,HARD,24.0,False
24.0,BOT,86.542,27.948,29.852,28.742,HARD,25.0,False
25.0,BOT,86.863,28.314,29.834,28.715,HARD,26.0,False
26.0,BOT,86.885,28.54,29.7,28.645,HARD,27.0,False
27.0,BOT,86.309,28.049,29.594,28.666,HARD,28.0,False
28.0,BOT,85.804,27.947,29.271,28.586,HARD,29.0,True
29.0,BOT,86.827,28.501,29.766,28.56,HARD,30.0,False
30.0,BOT,86.022,28.03,29.509,28.483,HARD,31.0,False
31.0,BOT,86.004,28.139,29.354,28.511,HARD,32.0,False
32.0,BOT,87.859,28.465,30.506,28.888,HARD,33.0,False
33.0,BOT,90.924,27.95,29.67,33.304,HARD,34.0,False
34.0,BOT,105.462,47.693,29.221,28.548,MEDIUM,2.0,False
35.0,BOT,85.336,27.734,29.222,28.38,MEDIUM,3.0,True
36.0,BOT,85.114,27.765,29.169,28.18,MEDIUM,4.0,True
37.0,BOT,85.213,27.78,29.132,28.301,MEDIUM,5.0,False
38.0,BOT,86.704,27.866,29.222,29.616,MEDIUM,6.0,False
39.0,BOT,85.081,27.615,29.332,28.134,MEDIUM,7.0,True
40.0,BOT,85.16,27.758,29.092,28.31,MEDIUM,8.0,False
41.0,BOT,86.31,28.082,29.887,28.341,MEDIUM,9.0,False
42.0,BOT,86.036,27.723,29.687,28.626,MEDIUM,10.0,False
43.0,BOT,84.637,27.523,28.919,28.195,MEDIUM,11.0,True
44.0,BOT,84.792,27.761,28.885,28.146,MEDIUM,12.0,False
45.0,BOT,84.588,27.682,28.921,27.985,MEDIUM,13.0,True
46.0,BOT,84.358,27.617,28.657,28.084,MEDIUM,14.0,True
47.0,BOT,84.089,27.332,28.775,27.982,MEDIUM,15.0,True
48.0,BOT,85.126,27.75,28.539,28.837,MEDIUM,16.0,False
49.0,BOT,83.885,27.443,28.632,27.81,MEDIUM,17.0,True
50.0,BOT,84.357,27.651,28.704,28.002,MEDIUM,18.0,False
51.0,BOT,83.979,27.537,28.569,27.873,MEDIUM,19.0,False
52.0,BOT,83.609,27.55,28.419,27.64,MEDIUM,20.0,True
1.0,COL,95.885,,32.713,30.295,MEDIUM,1.0,False
2.0,COL,87.845,28.352,30.598,28.895,MEDIUM,2.0,True
3.0,COL,86.578,27.636,30.238,28.704,MEDIUM,3.0,True
4.0,COL,86.25,27.686,29.802,28.762,MEDIUM,4.0,True
5.0,COL,87.151,27.685,30.569,28.897,MEDIUM,5.0,False
6.0,COL,86.057,27.633,29.362,29.062,MEDIUM,6.0,True
7.0,COL,87.204,28.513,29.885,28.806,MEDIUM,7.0,False
8.0,COL,86.385,27.774,29.618,28.993,MEDIUM,8.0,False
9.0,COL,86.222,27.779,29.555,28.888,MEDIUM,9.0,False
10.0,COL,86.289,27.76,29.706,28.823,MEDIUM,10.0,False
11.0,COL,86.607,27.883,29.614,29.11,MEDIUM,11.0,False
12.0,COL,86.5,27.91,29.617,28.973,MEDIUM,12.0,False
13.0,COL,86.41,27.9,29.546,28.964,MEDIUM,13.0,False
14.0,COL,86.93,27.986,29.857,29.087,MEDIUM,14.0,False
15.0,COL,86.672,27.89,29.739,29.043,MEDIUM,15.0,False
16.0,COL,91.193,28.117,29.78,33.296,MEDIUM,16.0,False
17.0,COL,106.349,48.514,29.392,28.443,HARD,1.0,False
