time_s,distance_m,x_m,y_m,speed_kmh,throttle,brake,gear
0.0,0.04212916878431794,-1381.1687593684503,-766.1692183518704,316.975,100.0,False,8
0.004,0.39555555555555344,-1380.8592876211856,-762.4334916112556,317.0,100.0,False,8
0.04,3.5791032245867003,-1378.0,-728.0,317.45,100.0,False,8
0.164,14.573333333333332,-1367.1590072977976,-598.5515239625973,319.0,100.0,False,8
0.34,30.212411965320943,-1351.0,-409.0,319.88,100.0,False,8
0.364,32.35111111111111,-1348.9475010924739,-385.3495600609554,320.0,100.0,False,8
1.06,94.98509547178529,-1298.0,179.0,323.8666666666667,100.0,False,8
1.084,97.15111111111112,-1295.9891301127645,202.37358882208892,324.0,100.0,False,8
1.244,111.59555555555556,-1281.821080614388,369.7469036127044,325.0,100.0,False,8
1.361,122.18353673733313,-1272.0,485.0,325.58500096,100.0,False,8
1.444,129.70666666666668,-1265.7334737778453,556.992999203124,326.0,100.0,False,8
1.684,151.50666666666666,-1249.2507040913392,742.6405490458824,327.0,100.0,False,8
1.701,153.053839260593,-1248.0,757.0,327.1062496,100.0,False,8
1.844,166.08444444444444,-1236.9246084527326,885.7994040854835,328.0,100.0,False,8
1.881,169.4603964634254,-1234.0,920.0,328.13214354285714,100.0,False,8
2.061,185.90824807748933,-1220.0,1084.0,328.77499977142855,100.0,False,8
2.124,191.67333333333335,-1215.461302197595,1137.333016503107,329.0,100.0,False,8
2.364,213.67333333333332,-1196.820275346597,1355.056972017248,330.0,100.0,False,8
2.381,215.23403880874193,-1195.0,1376.0,330.0708330666667,100.0,False,8
2.581,233.62164640196278,-1171.0,1651.0,330.9041664,100.0,False,8
2.604,235.74,-1168.9138642087353,1675.1900123846788,331.0,100.0,False,8
2.804,254.18444444444444,-1158.906131354367,1795.4902862185174,332.0,100.0,False,8
2.901,263.12621205688475,-1154.0,1853.0,332.0,100.0,False,8
2.964,268.94,-1149.8094419862437,1900.7110589926356,332.0,100.0,False,8
3.221,292.7621526046867,-1128.0,2147.0,333.0708330666667,100.0,False,8
3.441,313.19500194982413,-1111.0,2351.0,333.9875008,100.0,False,8
3.444,313.47333333333336,-1110.749199783849,2354.0138075245886,334.0,100.0,False,8
3.604,328.3177777777778,-1096.4929522552852,2522.916372902221,334.0,100.0,False,8
3.621,329.89740129301947,-1095.0,2540.0,334.08499968,100.0,False,8
3.801,346.64972157844835,-1080.0,2706.0,334.98500096,100.0,False,8
3.804,346.9288888888889,-1079.7559936502762,2708.75059855945,335.0,100.0,False,8
4.001,365.26048441382824,-1064.0,2892.0,335.0,100.0,False,8
4.004,365.53999999999996,-1063.765934923409,2894.725255632874,335.0,100.0,False,8
4.244,387.94,-1044.5881506638436,3115.64319426714,336.0,100.0,False,8
4.261,389.5265947121922,-1043.0,3134.0,336.0,100.0,False,8
4.404,402.87333333333333,-1028.034478135651,3307.8305653970983,336.0,100.0,False,8
4.5,411.85067840680307,-1019.0,3413.0,336.34285714285716,100.0,False,8
4.684,429.08444444444444,-1007.7566772611348,3543.6973981863503,337.0,100.0,False,8
4.76,436.202156421861,-1003.0,3599.0,337.0,100.0,False,8
4.884,447.8066666666667,-993.3158885675804,3711.673125847914,337.0,100.0,False,8
4.96,454.90782128195866,-987.0,3785.0,336.68464721915944,100.0,False,8
5.125,470.29999999999995,-973.7456862447947,3938.657451892404,336.0,100.0,False,8
5.16,473.5621381474231,-971.0,3971.0,335.91249984,100.0,False,8
5.38,494.044968161961,-954.0,4175.0,335.36249984,100.0,False,8
5.525,507.52222222222224,-942.4616396955108,4309.413984117002,335.0,100.0,False,8
5.68,521.9079368202799,-930.0,4453.0,334.56944426666666,100.0,False,8
5.885,540.9222222222222,-913.7670139750733,4642.73577929874,334.0,100.0,False,8
5.92,544.1702485625733,-911.0,4675.0,334.0,100.0,False,8
6.044,555.6738888888889,-901.180529449366,4788.879361956335,334.0,100.0,False,8
6.16,566.4093459476464,-892.0,4896.0,333.51666666666665,100.0,False,8
6.284,577.8738888888889,-882.2436621583275,5011.451974617512,333.0,100.0,False,8
6.3,579.3538528633643,-881.0,5026.0,333.0,100.0,False,8
6.56,603.4098235209294,-860.0,5265.0,333.0,100.0,False,8
6.604,607.473888888889,-855.6724142097598,5314.604693706306,333.0,100.0,False,8
6.764,622.2294444444445,-839.0130538628522,5506.627124203889,332.0,100.0,False,8
6.8,625.5468740317499,-836.0,5541.0,331.91818181818184,100.0,False,8
7.02,645.804738321338,-823.0,5687.0,331.41818181818184,100.0,False,8
7.204,662.6850000000001,-808.8627223628963,5854.455653196759,331.0,100.0,False,8
7.24,665.9780906597476,-806.0,5889.0,330.73,100.0,False,8
7.52,691.4943624970621,-785.0,6143.0,328.63,100.0,False,8
7.604,699.1294444444445,-778.8692234473551,6212.2129264759715,328.0,100.0,False,8
7.721,709.753538785278,-769.0,6324.0,327.70749952,100.0,False,8
7.981,733.3675620834647,-738.0,6699.0,327.05750016,100.0,False,8
8.004,735.4627777777778,-735.5942456307419,6728.260263655712,327.0,100.0,False,8
8.341,766.1310107707627,-711.0,7024.0,325.4681821090909,74.7250048,False,8
8.444,775.1850000000001,-705.5775218113959,7087.5048265760815,325.0,67.0,False,8
8.721,798.2479112654569,-692.0,7245.0,300.7624832,9.003084799999996,False,8
8.764,801.5849999999999,-689.4627582768371,7275.037548029128,297.0,0.0,True,8
8.924,813.3183333333333,-679.2145423195997,7398.161764331682,264.0,0.0,True,8
9.001,818.5407146903626,-675.0,7451.0,252.83497216,0.0,True,8
9.124,826.3738888888889,-669.8568309781801,7519.958351964665,235.0,0.0,True,8
9.261,834.5203328084694,-662.0,7615.0,219.5875072,0.0,True,8
9.364,840.2405555555556,-651.5929014687096,7726.49303278202,208.0,0.0,True,8
9.401,842.2096009896859,-648.0,7764.0,202.4499712,0.0,True,8
9.524,848.4183333333333,-638.8943581781866,7856.070066936021,184.0,0.0,True,8
9.804,860.785,-629.7420843017183,7929.903721214259,159.0,0.0,True,8
9.861,863.175422311361,-628.0,7942.0,156.57750272,0.0,True,8
10.204,876.5627777777778,-612.9997260937167,8025.7240538872775,142.0,0.0,True,8
10.241,877.8060077516035,-610.0,8037.0,137.374976,0.0,True,8
10.444,884.0294444444445,-588.1666241012953,8105.864921463651,112.0,0.0,True,6
10.501,885.7108897073533,-582.0,8123.0,110.00500224,0.0,True,6
