time_s,distance_m,x_m,y_m,speed_kmh,throttle,brake,gear
0.0,0.019003363370417414,-1377.8608828013103,-727.6660085308009,322.6750016,99.6750016,False,8
0.052,4.695555555555556,-1371.5963022283624,-651.9851351226953,323.0,100.0,False,8
0.188,16.976388290851496,-1358.0,-491.0,324.275,99.575,False,8
0.372,33.67333333333333,-1345.9964642419425,-357.8948394286718,326.0,99.0,False,8
0.568,51.5169302535686,-1335.0,-238.0,327.63333546666667,99.0,False,8
0.612,55.54,-1331.8377334188817,-201.35794525981314,328.0,99.0,False,8
0.747,67.93398767342882,-1321.0,-75.0,329.2300687409467,99.0,False,8
0.987,90.10716974399244,-1301.0,144.0,331.4168565770414,99.0,False,8
1.051,96.02555555555554,-1295.8000729016703,201.64915761089458,332.0,99.0,False,8
1.212,110.91805555555554,-1282.882474539284,349.0732489420058,333.0,100.0,False,8
1.247,114.15687691116209,-1280.0,383.0,333.1093752,99.8906248,False,8
1.487,136.4097215592173,-1260.0,624.0,333.8593752,99.1406248,False,8
1.532,140.60694444444442,-1256.5648686062432,664.3029130844761,334.0,99.0,False,8
1.772,163.14027777777775,-1239.6523995162622,854.2067683232151,338.0,99.0,False,8
1.887,173.99241532519028,-1229.0,978.0,338.8214290285714,99.41071451428571,False,8
2.052,189.5847222222222,-1210.2773524087718,1202.0503615915507,340.0,100.0,False,8
2.087,192.88954515555918,-1207.0,1241.0,340.0,99.87499977142858,False,8
2.332,216.02916666666664,-1192.9682087428469,1400.172630883991,340.0,99.0,False,8
2.347,217.4498605092839,-1192.0,1411.0,340.1250005333333,99.0,False,8
2.572,238.82916666666665,-1173.2729836499748,1623.3095868844102,342.0,99.0,False,8
2.587,240.25877251655203,-1172.0,1638.0,342.1250005333333,99.0,False,8
2.747,255.53982414263336,-1159.0,1790.0,343.4583338666667,99.0,False,8
2.812,261.7625,-1153.704311284596,1852.1015197228137,344.0,99.0,False,8
3.067,286.25299855652753,-1133.0,2095.0,345.5937504,99.0,False,8
3.132,292.5180555555556,-1128.0589251598053,2153.2774137701253,346.0,99.0,False,8
3.287,307.49631316842306,-1115.0,2306.0,347.10714331428574,99.0,False,8
3.412,319.58472222222224,-1099.8203504414018,2479.295883880574,348.0,99.0,False,8
3.547,332.62455377355843,-1084.0,2659.0,348.0,99.0,False,8
3.652,342.7847222222223,-1076.3504187032981,2746.6726938848387,348.0,99.0,False,8
3.852,362.2291666666667,-1066.8135332328793,2858.2500264923274,350.0,100.0,False,8
3.888,365.73691813164345,-1064.0,2891.0,350.2250016,100.0,False,8
4.012,377.82916666666665,-1051.1245638950263,3040.445426556376,351.0,100.0,False,8
4.168,393.0462648375809,-1034.0,3240.0,351.0,100.0,False,8
4.252,401.2291666666667,-1027.7589449719933,3314.067526079128,351.0,100.0,False,8
4.468,422.22718859912663,-1016.0,3454.0,350.1,99.1,False,8
4.492,424.56250000000006,-1014.2847101352104,3473.551419504838,350.0,99.0,False,8
4.748,449.52180055461633,-992.0,3726.0,350.9142857142857,99.91428571428571,False,8
4.772,451.86250000000007,-990.0081516930065,3749.8037241864695,351.0,100.0,False,8
4.948,469.02184093287843,-976.0,3920.0,351.0,100.0,False,8
5.052,479.1625,-966.907876617383,4020.734523363234,351.0,100.0,False,8
5.108,484.6244407762141,-962.0,4075.0,351.0,99.76666666666667,False,8
5.288,502.1731465996678,-947.0,4249.0,351.0,99.0166656,False,8
5.292,502.56250000000006,-946.6726603704885,4252.871617297888,351.0,99.0,False,8
5.508,523.5606618436908,-929.0,4463.0,350.1,99.0,False,8
5.532,525.8958333333334,-926.9936259442111,4486.565255070987,350.0,99.0,False,8
5.748,546.9518218393442,-909.0,4695.0,350.77142857142854,99.77142857142857,False,8
5.812,553.1958333333334,-904.1219801875311,4751.279285810294,351.0,100.0,False,8
6.008,572.318020714326,-887.0,4948.0,351.0,100.0,False,8
6.132,584.3958333333334,-869.7827410579766,5144.864103656004,351.0,100.0,False,8
6.168,587.8973775643906,-865.0,5200.0,350.81999872,99.81999872,False,8
6.332,603.8402777777778,-848.0433915525978,5400.079256830913,350.0,99.0,False,8
6.528,622.950240926639,-834.0,5569.0,350.98000128,99.98000128,False,8
6.532,623.3402777777778,-833.7289329391564,5572.175164225981,351.0,100.0,False,8
6.932,662.2291666666667,-808.635982094546,5855.219028392761,350.0,99.0,False,8
6.988,667.6303369064392,-805.0,5898.0,349.3,99.0,False,8
7.228,690.6790432889727,-786.0,6128.0,346.3,99.0,False,8
7.252,692.9847222222222,-783.1858862400949,6161.504021906565,346.0,99.0,False,8
7.407,707.8824523525572,-763.0,6400.0,346.0,99.0,False,8
7.412,708.3625,-762.4551093146,6406.451789510673,346.0,99.0,False,8
7.611,727.3780555555555,-748.8343128216574,6569.641625335606,344.0,35.0,False,8
7.772,742.4941666666667,-741.3009922447748,6659.977230965078,338.0,0.0,True,8
7.807,745.766241594398,-739.0,6687.0,336.906248,0.0,True,8
7.932,757.2941666666668,-729.2020313646902,6801.048244550876,333.0,0.0,True,8
7.947,758.6356466367279,-728.0,6815.0,331.124992,0.0,True,8
8.172,777.4941666666668,-711.09418195537,7011.642964330079,303.0,0.0,True,8
8.247,783.2062801519305,-706.0,7073.0,293.9134537846154,0.0,True,8
8.407,794.4100028046063,-696.0,7198.0,274.5288384,0.0,True,8
8.667,810.6679945886909,-681.0,7382.0,243.0288384,0.0,True,8
8.692,812.1608333333335,-679.6511396928925,7397.778252761589,240.0,0.0,True,8
8.867,822.268314256,-670.0,7508.0,217.49999177142857,0.0,True,8
8.972,828.0275000000001,-662.7813146422197,7592.262161010693,204.0,0.0,True,8
9.107,835.0798270169914,-654.0,7696.0,191.62499413333333,0.0,True,8
9.212,840.1608333333335,-649.803397819727,7745.799070654724,182.0,0.0,True,6
9.447,849.9171344454751,-644.0,7809.0,160.45832746666667,0.0,True,6
9.607,855.6364159202773,-637.0,7875.0,145.7916608,0.0,True,6
9.692,858.5608333333334,-633.0747811808432,7908.106778950538,138.0,0.0,True,3
9.867,864.3331640066506,-624.0,7969.0,127.49999616,0.0,True,3
9.987,868.0899296214485,-616.0,8008.0,120.29999616,0.0,True,3
10.092,871.2275000000001,-608.9529102999221,8039.901224264517,114.0,0.0,True,2
10.187,873.9455547225931,-602.0,8067.0,110.19999744,0.0,True,2
10.448,880.9563179523075,-577.0,8134.0,99.75998976,0.0,True,2
10.492,882.116388888889,-571.9678923350982,8144.573318680682,98.0,0.0,True,2
10.652,886.2941666666667,-551.8431596029135,8181.286410028518,94.0,0.0,True,2
10.688,887.2171508106074,-547.0,8189.0,93.39999573333333,0.0,True,2
10.828,890.7338762808128,-527.0,8217.0,91.06666666666666,0.0,True,2
10.892,892.2941666666667,-516.9862976878713,8228.904581904053,90.0,0.0,True,2
11.028,895.5038178564123,-494.0,8252.0,87.52727272727273,0.0,True,2
11.248,900.4516095277183,-453.0,8281.0,83.52726807272727,0.0,True,2
11.332,902.3163888888889,-435.9921103172145,8289.335740357874,82.0,0.0,False,2
11.532,906.7052777777778,-393.56669987764485,8303.36325714644,79.0,0.0,False,2
11.588,907.9063371439834,-382.0,8306.0,78.475,1.75,False,2
11.748,911.2699113855016,-347.0,8312.0,76.975,6.75,False,2
11.852,913.4608333333334,-313.7363201771585,8318.89243350044,76.0,10.0,False,2
11.988,916.358679836388,-271.0,8329.0,76.425,6.175000000000001,False,2
12.172,920.3052777777779,-248.97003112358107,8336.828217560227,77.0,1.0,False,2
12.288,922.7836914051682,-238.0,8344.0,76.5166656,1.0,False,2
12.412,925.3719444444446,-218.05918393403363,8356.95871981738,76.0,1.0,False,2
12.468,926.5012410037084,-209.0,8364.0,75.02,1.0,False,2
12.668,930.3442586531559,-184.0,8393.0,71.52,1.0,False,2
12.812,933.0386111111112,-170.56326629364068,8416.540834521611,69.0,1.0,False,2
12.928,935.1969205828699,-162.0,8437.0,68.35555413333333,5.511121066666667,False,2
13.172,939.7386111111113,-150.00197415775642,8483.728394213616,67.0,15.0,False,2
13.268,941.5479761952872,-147.0,8501.0,67.68571428571428,16.02857142857143,False,2
13.452,945.1052777777779,-143.25884872232533,8534.756030665747,69.0,18.0,False,2
