time_s,distance_m,x_m,y_m,speed_kmh,throttle,brake,gear
0.0,0.23881005937138067,-1380.9058189362634,-761.6285849398759,317.46666666666664,100.0,False,8
0.064,5.899999999999995,-1375.970721626078,-702.4136802752055,318.0,100.0,False,8
0.099,8.997465568330028,-1373.0,-667.0,318.2187504,100.0,False,8
0.224,20.077777777777776,-1360.886698927268,-523.8091450223861,319.0,100.0,False,8
0.319,28.536541974961988,-1352.0,-420.0,319.79166506666667,100.0,False,8
0.464,41.477777777777774,-1341.4920786055231,-299.920552280251,321.0,100.0,False,8
0.664,59.31111111111111,-1329.1013893138493,-164.81862824405934,321.0,100.0,False,8
0.679,60.65225275868354,-1328.0,-153.0,321.1249984,100.0,False,8
0.899,80.39479099559958,-1310.0,42.0,322.9583338666667,100.0,False,8
0.904,80.84444444444443,-1309.605386749336,46.52303964550351,323.0,100.0,False,8
1.064,95.24444444444444,-1297.6626944215448,189.68351502396217,324.0,100.0,False,8
1.099,98.39391688284684,-1295.0,221.0,324.0,100.0,False,8
1.299,116.39375522670407,-1279.0,401.0,324.0,100.0,False,8
1.304,116.84444444444443,-1278.6042552332024,405.4989814722473,324.0,100.0,False,8
1.464,131.28888888888886,-1266.1728665693802,549.4409332876019,325.0,100.0,False,8
1.479,132.6450025997633,-1265.0,563.0,325.0624992,100.0,False,8
1.704,153.02222222222218,-1247.1668564259871,766.6942184162252,326.0,100.0,False,8
1.719,154.3826357905095,-1246.0,780.0,326.07499904,100.0,False,8
1.859,167.09360541725985,-1235.0,906.0,326.77500032,100.0,False,8
1.904,171.18888888888884,-1231.06735068446,951.5215691273189,327.0,100.0,False,8
2.179,196.32001294774676,-1204.0,1269.0,328.96428617142857,100.0,False,8
2.184,196.77777777777774,-1203.5293961514437,1274.557396709272,329.0,100.0,False,8
2.544,229.77777777777774,-1174.01807140747,1623.2473660516616,330.0,100.0,False,8
2.559,231.15430627620975,-1173.0,1635.0,330.03409047272726,100.0,False,8
2.919,264.2405034644586,-1152.0,1873.0,330.85227229090907,100.0,False,8
2.984,270.2333333333333,-1148.0078892210731,1920.6760628360607,331.0,100.0,False,8
3.179,288.25466030830785,-1132.0,2111.0,331.8863639272727,100.0,False,8
3.399,308.62065364036323,-1102.0,2450.0,332.8863627636364,100.0,False,8
3.424,310.9333333333333,-1099.4761495181929,2478.872225039031,333.0,100.0,False,8
3.624,329.4333333333333,-1089.8021656457515,2596.2931619221176,333.0,100.0,False,8
3.779,343.8092371558118,-1083.0,2678.0,333.55160177687725,100.0,False,8
3.905,355.5038888888888,-1072.8785278498378,2792.156615656119,334.0,100.0,False,8
3.998,364.1299646459463,-1065.0,2882.0,334.0,100.0,False,8
4.105,374.0594444444444,-1057.3350864143604,2973.33092349095,334.0,100.0,False,8
4.218,384.56560996640275,-1048.0,3085.0,334.3531248,100.0,False,8
4.425,403.8372222222221,-1022.3565501910724,3380.61968055703,335.0,100.0,False,8
4.458,406.9077611383225,-1019.0,3419.0,335.0,100.0,False,8
4.704,429.7997222222221,-1005.9526203477275,3566.824102289743,335.0,100.0,False,8
4.798,438.5679958092978,-1001.0,3623.0,335.39166613333333,100.0,False,8
4.944,452.19972222222214,-989.6963421387412,3752.1116884224984,336.0,100.0,False,8
