time_s,distance_m,x_m,y_m,speed_kmh,throttle,brake,gear
0.0,0.01865552746562482,-1383.73854480283,-790.5934882469901,315.49999872,100.0,False,8
0.1,8.805555555555555,-1377.7114557621978,-716.5680011273204,316.0,100.0,False,8
0.299,26.348539449058997,-1359.0,-501.0,317.2437488,100.0,False,8
0.42,37.072222222222216,-1343.3284498450726,-326.3386845324123,318.0,100.0,False,8
0.519,45.88593791703555,-1332.0,-201.0,318.8249984,100.0,False,8
0.839,74.54522224569689,-1316.0,-23.0,321.49166506666666,100.0,False,8
0.9,80.00555555555556,-1311.7658816685903,24.93356937525588,322.0,100.0,False,8
1.019,90.64845817530863,-1302.0,136.0,322.0,100.0,False,8
1.06,94.31666666666668,-1298.699127378645,173.75425265446688,322.0,100.0,False,8
1.199,106.76657444873985,-1288.0,297.0,322.4964278857143,100.0,False,8
1.34,119.4388888888889,-1278.206750089882,411.2982975259065,323.0,100.0,False,8
1.499,133.8073267830035,-1265.0,566.0,324.19249856,100.0,False,8
1.74,155.6611111111111,-1235.9737116283923,903.2650108140074,326.0,100.0,False,8
1.759,157.38211253533294,-1234.0,926.0,326.0,100.0,False,8
1.94,173.7722222222222,-1220.0530692227708,1084.383087731805,326.0,100.0,False,8
2.139,191.83418177744414,-1210.0,1198.0,326.62382422499763,100.0,False,8
2.259,202.74805555555554,-1203.9232531435523,1269.63355868551,327.0,100.0,False,8
2.459,220.97027777777777,-1190.0,1434.0,328.0,100.0,False,8
2.739,246.55916666666664,-1156.765595273726,1815.6522828186419,329.0,100.0,False,8
2.759,248.39451513953645,-1155.0,1836.0,329.1666666666667,100.0,False,8
2.979,268.62583333333333,-1145.1677231358776,1951.7209283472362,331.0,100.0,False,8
3.119,281.4627255393521,-1138.0,2037.0,330.30348325239413,100.0,False,8
3.18,287.05083333333334,-1132.8686829913602,2097.373711502196,330.0,100.0,False,8
3.34,301.7175,-1116.2372812504525,2292.1578553295103,330.0,100.0,False,8
3.379,305.30235929222147,-1113.0,2330.0,330.2785700571429,100.0,False,8
3.619,327.4472846871331,-1100.0,2481.0,331.9928557714286,100.0,False,8
3.62,327.5397222222222,-1099.9412170877956,2481.677032544444,332.0,100.0,False,8
3.9,353.4397222222222,-1078.257619381708,2730.5089286878197,333.0,100.0,False,8
3.999,362.5973850911881,-1070.0,2826.0,333.0,100.0,False,8
4.06,368.23972222222216,-1065.05883744047,2883.4956494440835,333.0,100.0,False,8
4.099,371.8471258487299,-1062.0,2919.0,333.0,100.0,False,8
4.299,390.34712460356957,-1046.0,3103.0,333.0,100.0,False,8
4.38,397.8397222222222,-1036.715597647611,3211.289616914682,333.0,100.0,False,8
4.54,412.6397222222222,-1016.4029679586861,3449.9767577118855,333.0,100.0,False,8
4.579,416.24700887948774,-1013.0,3490.0,333.0,100.0,False,8
4.7,427.4397222222222,-1007.151418079701,3558.8023843163655,333.0,100.0,False,8
4.859,442.15128566040113,-1002.0,3619.0,333.0,100.0,False,8
4.9,445.9397222222222,-999.2350315525956,3651.24121184693,333.0,100.0,False,8
5.1,464.3841666666666,-977.8505931042292,3900.368230662899,332.0,100.0,False,8
5.239,477.20639613239274,-964.0,4061.0,332.0,100.0,False,8
5.42,493.8952777777777,-952.8890102634068,4188.2219650380375,332.0,100.0,False,8
5.639,514.0338505513098,-940.0,4336.0,331.0875008,100.0,False,8
5.66,515.9619444444444,-938.1254674729562,4357.77899058211,331.0,100.0,False,8
5.86,534.2993063276699,-918.0,4592.0,330.1666666666667,100.0,False,8
5.9,537.9619444444444,-914.9709775660251,4626.796754089169,330.0,100.0,False,8
6.12,558.0793259142091,-902.0,4774.0,329.3125008,100.0,False,8
6.22,567.2063888888888,-892.6912560380753,4882.620473956939,329.0,100.0,False,8
6.38,581.7841666666666,-874.5154504619014,5096.735104070383,328.0,100.0,False,8
6.46,589.0584969278865,-868.0,5173.0,327.6,100.0,False,8
6.58,599.9508333333332,-862.4042867879049,5237.280053855751,327.0,100.0,False,8
6.699,610.7299394442852,-857.0,5299.0,326.2562512,100.0,False,8
6.74,614.4397222222221,-854.0721357428017,5332.920321359185,326.0,100.0,False,8
6.98,636.1063888888889,-828.5144964248283,5631.0945923801255,325.0,100.0,False,8
7.079,644.9999007410822,-820.0,5729.0,324.01000192,100.0,False,8
7.18,654.0508333333332,-814.223866288382,5793.489880413095,323.0,100.0,False,8
7.379,671.8502611051832,-804.0,5908.0,322.00500096,100.0,False,8
7.38,671.9397222222221,-803.9152400292397,5908.994052554392,322.0,100.0,False,8
7.66,696.9841666666666,-770.1716122580277,6313.085946002139,322.0,100.0,False,8
7.699,700.4662376875433,-766.0,6363.0,321.7562512,100.0,False,8
7.82,711.2508333333333,-755.6317065924327,6486.160409045458,321.0,100.0,False,8
8.019,728.8953573768895,-744.0,6623.0,319.34166826666666,100.0,False,8
8.06,732.5174999999999,-741.7778011797006,6649.430885839624,319.0,100.0,False,8
8.419,764.1895925585864,-722.0,6888.0,318.10250048,100.0,False,8
8.46,767.8508333333333,-719.1860705402693,6921.868492781264,318.0,100.0,False,8
8.639,783.8764805095988,-706.0,7081.0,318.0,37.350067200000005,False,8
8.7,789.0508333333331,-701.7587439413746,7132.9865920367365,318.0,16.0,True,8
8.879,803.0606927495053,-690.0,7275.0,284.7185965526158,3.4070365334221826,True,8
8.899,804.5838888888886,-688.6899627050736,7289.834664569466,281.0,2.0,True,8
8.999,812.1698394924252,-682.0,7364.0,273.5,1.0,True,8
9.099,819.3616666666665,-674.663360958284,7448.951425316669,266.0,0.0,True,8
9.359,834.9147502384258,-657.0,7664.0,222.125,0.0,True,8
9.419,838.2061111111109,-654.8162559116508,7690.952899806467,212.0,0.0,True,7
9.639,849.826942948845,-650.0,7747.0,192.42705963702687,0.0,True,7
9.7,852.8024999999997,-647.7488205942742,7770.437357438379,187.0,0.0,True,7
9.899,861.6266104075793,-638.0,7865.0,162.95418986666667,0.0,True,7
9.94,863.335833333333,-635.9796678560269,7882.436622752872,158.0,0.0,True,7
10.019,866.5540651278811,-632.0,7914.0,151.68001536,0.0,True,7
10.14,871.2247222222219,-625.083401885016,7960.579473954469,142.0,0.0,True,7
10.239,874.730527895874,-619.0,7996.0,135.4000128,0.0,True,7
10.439,881.1249126694552,-604.0,8061.0,122.06667946666667,0.0,True,7
10.5,883.0247222222218,-596.3354887418438,8082.801327981043,118.0,0.0,True,4
10.74,890.2913888888885,-555.6866136926958,8172.402831687246,109.0,0.0,True,2
10.799,891.9552303833382,-548.0,8188.0,106.0500096,0.0,True,2
10.98,896.7580555555552,-534.041055040321,8214.051797576563,97.0,0.0,True,2
11.179,901.7050211974653,-511.0,8235.0,92.0250048,0.0,True,2
11.38,906.4247222222218,-458.27596627068874,8276.90977097051,87.0,0.0,True,2
11.399,906.859589313052,-454.0,8280.0,86.5250048,0.0,True,2
11.66,912.646944444444,-418.1104713071618,8296.9340153723,80.0,0.0,True,2
11.719,913.9127189790937,-409.0,8299.0,79.2625024,4.056236800000001,True,2
11.979,919.381416063297,-353.0,8311.0,76.0125024,21.9312368,True,2
11.98,919.4024999999996,-352.7795237156185,8311.045930859616,76.0,22.0,False,2
12.119,922.3450969063907,-323.0,8317.0,76.57916586666667,29.529156266666668,False,2
12.22,924.5358333333329,-301.5263096440295,8320.622302931817,77.0,35.0,False,2
12.28,925.8697901152811,-288.0,8324.0,77.83332977777778,29.166691555555555,False,2
12.58,932.7358333333328,-213.4516678168842,8360.951733530743,82.0,0.0,True,2
12.62,933.6367136200864,-206.0,8366.0,81.5,0.0,True,2
12.74,936.2913888888884,-189.55614156627067,8379.598790215523,80.0,0.0,True,2
12.9,939.6691666666661,-178.65360666751994,8396.342853522552,76.0,0.0,True,2
13.0,941.7065834993244,-172.0,8411.0,74.3333376,0.0,True,2
13.14,944.4691666666661,-162.0,8437.0,72.0,0.0,False,2
13.299,947.4824276360401,-153.0,8467.0,69.3500032,11.9249856,False,2
13.38,949.0024999999994,-149.65351266016447,8482.062249946024,68.0,18.0,False,2
13.599,953.1427389701936,-144.0,8525.0,68.6083328,26.5166592,False,2
13.74,955.9024999999993,-141.85193411497937,8558.277496007036,69.0,32.0,False,2
13.879,958.7345945249577,-141.0,8589.0,71.31666346666667,37.40554808888889,False,2
14.1,963.4024999999993,-142.98294611311422,8624.83054091981,75.0,46.0,False,2
14.139,964.2362006090312,-144.0,8633.0,75.541664,46.541664,False,2
14.46,971.4024999999993,-159.07515378016188,8727.035300497402,80.0,51.0,False,2
14.479,971.8648247733216,-160.0,8732.0,80.7124928,51.8312416,False,2
14.919,983.8503517419493,-181.0,8820.0,97.2124928,71.0812416,False,2
14.94,984.469166666666,-182.38207374167914,8825.424952915082,98.0,72.0,False,2
15.059,988.0446946782297,-191.0,8859.0,103.52499108571429,72.84999862857143,False,2
15.22,993.1024999999993,-204.1619024443779,8907.176266968863,111.0,74.0,False,3
15.239,993.719329666053,-206.0,8914.0,111.71472674992958,74.47648449995306,False,3
15.499,1002.5752404975356,-235.0,9025.0,121.4952968999906,80.99686459999374,False,3
15.539,1004.0016666666659,-238.5549071040703,9038.663271506935,123.0,82.0,False,3
15.699,1009.912777777777,-249.10360137026166,9078.993367062078,133.0,85.0,False,3
15.819,1014.7016204958079,-258.0,9113.0,138.72727272727272,89.0909090909091,False,3
