time_s,distance_m,x_m,y_m,speed_kmh
0.0,0.026354148705167668,-1377.641976736831,-728.1942672717421,319.24444444444447
0.111,9.926318212230466,-1369.0,-622.0,319.86111146666667
0.316,28.20111111111111,-1357.5496444909209,-482.0522471019923,321.0
0.476,42.467777777777776,-1347.6365891627863,-368.24679688431496,321.0
0.551,49.178996823918396,-1340.0,-284.0,321.6250005333333
0.716,64.0011111111111,-1318.6333336930884,-51.7914822363503,323.0
0.731,65.35163749391872,-1317.0,-34.0,323.1071414857143
0.996,89.27888888888887,-1301.8605294888046,135.61516592539257,325.0
1.071,96.06360586576017,-1298.0,181.0,325.2678573714286
1.276,114.63444444444443,-1282.4938751967768,362.8166024969464,326.0
1.291,115.9951661140658,-1281.0,380.0,326.07499904
1.476,132.80111111111108,-1258.7508198512887,631.9129730785919,327.0
1.571,141.45033673664574,-1249.0,742.0,327.47499904
1.676,151.0233333333333,-1241.8757713872665,823.157677057211,328.0
1.911,172.4895846978288,-1232.0,942.0,328.7343752
1.996,180.26777777777775,-1226.204086800547,1013.6643546125655,329.0
2.111,190.80290447178143,-1217.0,1125.0,329.57500032
2.196,198.6011111111111,-1210.0094942330888,1204.7389440504028,330.0
2.356,213.31222222222218,-1196.7574122399303,1349.5787525080923,331.0
2.431,220.22415746418335,-1191.0,1417.0,331.37500032
2.511,227.6052372417878,-1185.0,1491.0,331.77500032
2.556,231.75666666666663,-1181.0467261914082,1538.8633198337504,332.0
2.716,246.5122222222222,-1163.2835567601126,1746.7827969601506,332.0
2.831,257.1114652185139,-1152.0,1877.0,332.0
3.036,276.0233333333333,-1139.7816046222417,2016.3624645726863,332.0
3.191,290.37727976102053,-1131.0,2116.0,332.86111146666667
3.391,308.95818315071585,-1115.0,2301.0,333.97222257777776
3.396,309.4233333333333,-1114.601394981862,2305.7843885946195,334.0
3.491,318.26669237158575,-1107.0,2398.0,334.5900611538131
3.557,324.4052777777777,-1100.9339558577758,2469.290174944368,335.0
3.67,334.88921984117803,-1090.0,2595.0,334.43500032
3.757,342.9608333333333,-1082.6971601787518,2679.191818606837,334.0
3.87,353.4677769271179,-1074.0,2780.0,334.56499968
3.957,361.5719444444444,-1067.1953658662915,2859.3376695048114,335.0
4.11,375.849093572774,-1055.0,3002.0,335.63749973333336
4.197,383.97194444444443,-1047.9530339673152,3084.2862241468692,336.0
4.397,402.6386111111111,-1031.981405340194,3269.713499922926,336.0
4.41,403.8515226192434,-1031.0,3281.0,336.0
4.557,417.57194444444445,-1019.3514602160121,3414.425632436565,336.0
4.57,418.78733011008455,-1018.0,3430.0,336.0812496
4.717,432.54972222222216,-998.110376688159,3660.546975045012,337.0
4.79,439.3822879659758,-989.0,3766.0,337.0
5.037,462.50527777777774,-974.2155694632081,3933.5196440474247,337.0
5.21,478.7521931273463,-966.0,4027.0,337.72083306666667
5.277,485.0386111111111,-961.1646533168803,4083.2602666583734,338.0
5.41,497.4919393960802,-950.0,4214.0,337.33500032
5.477,503.7608333333333,-944.5003784545011,4278.429942695424,337.0
5.61,516.2088579527909,-934.0,4401.0,337.0
5.637,518.738611111111,-931.9463987120924,4424.782615075423,337.0
5.87,540.6131289467671,-913.0,4644.0,337.83214262857143
5.917,545.0274999999999,-907.8979990257814,4704.17367072884,338.0
6.076,559.9558333333332,-888.3967357040084,4936.1131003339515,338.0
6.131,565.1178586659962,-883.0,5000.0,338.0
6.236,574.9780555555554,-875.6371119132662,5086.140228326209,338.0
6.436,593.8113888888888,-867.153832411576,5181.592362478064,339.0
6.471,597.1078041067734,-865.0,5206.0,339.0
6.596,608.8780555555555,-855.2022824033667,5317.64909058119,339.0
6.691,617.8236115342746,-847.0,5412.0,339.0
6.876,635.2447222222222,-832.1196241416194,5585.839771030514,339.0
6.891,636.6572208653869,-831.0,5599.0,339.0
7.076,654.0780555555555,-816.6101274744125,5768.187571378132,339.0
7.091,655.4905000601477,-815.0,5787.0,339.0
7.311,676.2060049924858,-786.0,6124.0,339.0
7.476,691.7447222222222,-776.3144715406368,6235.044545802371,339.0
7.636,706.8113888888889,-770.8656273303232,6301.147490307161,339.0
7.651,708.2225905714176,-770.0,6312.0,339.0
7.831,725.1351552756553,-756.0,6487.0,339.0
7.996,740.7113888888889,-742.446179499591,6642.281482268961,339.0
8.051,745.9372649186455,-738.0,6693.0,339.0
8.196,759.5447222222222,-726.4527627377666,6828.749761695955,339.0
8.331,771.4180163901871,-716.0,6954.0,324.75002026666664
8.551,789.2562676598606,-700.0,7146.0,301.5277710222222
8.556,789.6447222222221,-699.6670141668682,7150.0529497014095,301.0
8.756,804.533611111111,-687.2592627159914,7302.749756250344,268.0
8.791,806.989110460893,-685.0,7330.0,263.624992
8.996,820.4002777777777,-671.0656719839739,7493.667930564078,238.0
9.031,822.5153561204186,-669.0,7518.0,233.9431744
9.371,840.3857825291591,-655.0,7685.0,194.53411316363636
9.436,843.2558333333332,-652.4863440760937,7712.645720770093,187.0
10.35,870.1826861194495,-604.0,8057.0,106.61564085059828
10.357,870.3741666666665,-603.4659687118599,8058.954858516235,106.0
10.53,875.1869587680405,-589.0,8104.0,100.81000192
10.557,875.929722222222,-586.3975563219046,8110.7349444051,100.0
10.59,876.8300880710821,-583.0,8119.0,99.41071542857142
10.837,883.318611111111,-547.8694269261168,8185.10635620677,95.0
10.95,886.151487620536,-531.0,8211.0,92.80277902222223
11.197,892.1186111111109,-498.7906407041297,8248.993672049235,88.0
11.35,895.7329723993112,-475.0,8267.0,86.0875008
11.517,899.5852777777776,-441.8940966006807,8285.835087905163,84.0
11.55,900.3315409866714,-435.0,8289.0,83.52857234285715
11.71,903.8864809086351,-401.0,8301.0,81.24285805714285
11.797,905.8074999999999,-381.84046503338044,8305.82538257865,80.0
11.89,907.8633558891431,-361.0,8310.0,80.0
12.05,911.4106684158721,-325.0,8316.0,80.0
12.157,913.8074999999999,-301.320831685792,8321.16336564053,80.0
12.27,916.3639556445568,-277.0,8328.0,80.47083306666667
12.397,919.2074999999999,-250.87550312860645,8337.419741175316,81.0
12.47,920.7954965317623,-237.0,8344.0,79.90225677758288
12.711,925.8123701475731,-199.0,8373.0,76.27819432129213
12.796,927.5199999999999,-188.3704256181769,8385.967215367675,75.0
13.031,932.0917827589616,-166.0,8427.0,70.10416533333333
13.036,932.1866666666665,-165.6245095922735,8427.895072220901,70.0
13.251,936.1908867018275,-153.0,8467.0,67.3125024
13.276,936.6533333333332,-151.88467042906936,8471.670890656405,67.0
13.411,939.1539278774562,-147.0,8497.0,67.0
13.476,940.3755555555555,-145.33135305845175,8508.990757669519,67.0
13.491,940.6600226507719,-145.0,8512.0,67.14999808
13.851,947.7557373549635,-142.0,8603.0,70.74999808
13.876,948.2644444444444,-142.053779606386,8607.069669739682,71.0
14.076,952.4311111111111,-143.74652650103943,8629.724024474202,75.0
14.091,952.7557477850262,-144.0,8632.0,75.44999424
14.276,956.9311111111111,-148.72698786359797,8671.886436873372,81.0
14.391,959.7005125372172,-153.0,8700.0,84.19444622222223
14.551,963.7731952650963,-161.0,8739.0,88.63889066666667
14.636,966.0311111111112,-167.34348022564137,8765.8296406589,91.0
14.876,972.8311111111111,-189.77117045668876,8854.279151379977,102.0
14.891,973.2888189346507,-191.0,8859.0,102.67499136
