time_s,distance_m,x_m,y_m,speed_kmh
0.0,0.3700242941432075,-1704.1704773422425,1278.79806607087,256.437504
0.014,1.378226912313937,-1698.0,1287.0,256.656252
0.036,2.964444444444439,-1688.7315651121203,1299.279035759739,257.0
0.356,26.253333333333327,-1593.3328837871936,1420.4049397178078,262.0
0.415,30.56959840628052,-1572.0,1447.0,262.59000064
0.556,40.92,-1509.4519683048438,1525.24876840151,264.0
0.655,48.241872271554925,-1462.0,1585.0,265.48500096
0.734,54.11416296052618,-1425.0,1632.0,266.67000192
0.756,55.75333333333333,-1414.9905040637432,1644.8655759292797,267.0
0.995,73.677813446838,-1308.0,1787.0,269.9875008
0.996,73.75333333333333,-1307.502070803699,1787.6739083240818,270.0
1.276,95.06444444444445,-1155.016776492561,1996.232215665726,274.0
1.314,97.9751384368397,-1137.0,2021.0,274.4750016
1.436,107.33111111111111,-1087.507671671551,2089.143616995765,276.0
1.596,119.5977777777778,-1032.8829620695963,2164.496752204302,276.0
1.654,124.08556325657946,-1010.0,2196.0,277.03571657142857
1.794,135.02220731981794,-946.0,2284.0,279.53571657142857
1.876,141.45333333333332,-901.043894816351,2345.8320538869543,281.0
2.036,154.0311111111111,-802.0167606005399,2482.105989924233,283.0
2.134,161.767710042109,-752.0,2551.0,283.70000091428574
2.316,176.19777777777776,-689.5197837486094,2637.295471499833,285.0
2.433,185.50647272965492,-650.0,2693.0,285.9750016
2.556,195.3311111111111,-596.6713380142121,2769.318211997388,287.0
2.674,204.8024839211827,-541.0,2850.0,288.4750016
2.716,208.17555555555558,-521.6716444356525,2878.2930379013424,289.0
2.876,221.01999999999998,-449.91656577974715,2984.6548956870392,289.0
2.914,224.07590643983178,-433.0,3010.0,289.2375008
3.036,233.9088888888889,-378.7551617141647,3091.9099500465218,290.0
3.094,238.59760395538893,-353.0,3131.0,290.3625008
3.356,259.8644444444444,-235.99190746060083,3308.3202844345824,292.0
3.414,264.57999305103664,-209.0,3348.0,292.3625008
3.516,272.88666666666666,-160.1306291967959,3418.278450842952,293.0
3.634,282.5406725915116,-106.0,3495.0,293.9833344
3.756,292.5533333333333,-57.5889786149667,3563.6581834323565,295.0
3.834,298.9609126747032,-10.0,3628.0,295.3250005333333
3.974,310.4752782001362,119.0,3797.0,295.9083338666667
3.996,312.28666666666663,136.25984492761512,3819.3654223341173,296.0
4.235,332.00416666666666,227.95823574712506,3933.268936112666,297.0
4.394,345.1657951334849,278.0,3987.0,297.9937504
4.395,345.248611111111,278.4250529969411,3987.4565117917464,298.0
4.654,366.69169432410445,423.0,4138.0,298.0
4.676,368.5091666666666,436.1680279853256,4150.39839180992,298.0
4.734,373.29650190089677,471.0,4182.0,297.6374992
4.836,381.7091666666666,533.9353489066373,4235.736394507449,297.0
4.934,389.7986985824528,597.0,4284.0,297.0
4.996,394.9091666666666,638.4531305386965,4312.201928685313,297.0
5.174,409.5158863658731,764.0,4383.0,295.8874992
5.316,421.13138888888875,870.6741399245518,4428.452745350367,295.0
5.354,424.2382436418792,900.0,4439.0,294.89444408888886
5.594,443.8433089663593,1091.0,4490.0,294.22777742222223
5.676,450.5313888888888,1157.6313595612098,4501.15530580803,294.0
5.914,469.9091528182277,1353.0,4518.0,293.4590906181818
6.115,486.2611303381576,1518.0,4520.0,293.0022725818182
6.116,486.34249999999986,1518.822130152531,4519.986668993425,293.0
6.276,499.3647222222221,1650.3159653033658,4514.9587109930035,293.0
6.294,500.82987262513586,1665.0,4514.0,293.0
6.436,512.3869444444443,1779.7876599254134,4503.563207650564,293.0
6.514,518.7313722680589,1843.0,4496.0,293.0
6.676,531.9202777777776,1975.4670014184906,4477.274685296111,293.0
6.714,535.0230502450402,2006.0,4473.0,293.31666773333336
6.874,548.1312950344952,2135.0,4457.0,294.6500010666667
6.916,551.5869444444443,2172.449985222712,4453.312835053787,295.0
7.134,569.6248947313945,2379.0,4439.0,296.81666773333336
7.276,581.3869444444442,2489.023308539605,4436.67211837653,298.0
7.515,601.1046383599559,2658.0,4447.0,297.0041664
7.516,601.1869444444443,2658.8044094377783,4447.084518372381,297.0
7.674,614.1781126333692,2796.0,4466.0,296.0124992
7.676,614.3424999999999,2797.834842051398,4466.341103164137,296.0
7.795,624.1251117234431,2908.0,4491.0,296.0
7.876,630.7869444444443,2976.6830630729587,4510.33572636166,296.0
8.075,647.1633634416746,3127.0,4566.0,296.0
8.156,653.8091666666666,3187.0199898171986,4592.87472034613,296.0
8.275,663.5370723643762,3274.0,4637.0,294.80999936
8.356,670.1424999999998,3331.763127751432,4670.301612317263,294.0
8.514,683.0022166163992,3441.0,4742.0,293.0124992
8.516,683.164722222222,3442.3530606213985,4742.95349374227,293.0
8.673,695.8996150474129,3546.0,4821.0,292.0187488
8.676,696.1424999999998,3547.9207464049987,4822.540889061688,292.0
8.836,709.0758333333332,3646.7290949977387,4906.774620673333,291.0
8.874,712.1431474025366,3669.0,4927.0,290.89444408888886
9.054,726.6530870702098,3775.0,5029.0,290.39444408888886
9.196,738.0758333333332,3885.645580294373,5139.217907669322,290.0
9.396,754.1313888888889,4039.663631724874,5293.711954469429,289.0
9.414,755.5755427185727,4049.0,5303.0,288.7749984
9.694,777.7854138420308,4142.0,5391.0,285.2749984
9.716,779.4647222222221,4154.066737460342,5401.951437697106,285.0
10.014,800.8053401421231,4388.0,5612.0,258.5110997333333
10.076,804.7647222222222,4427.341289262601,5646.244079402504,253.0
10.436,824.5647222222221,4563.759299822658,5755.997614765606,198.0
10.454,825.4861707959908,4569.0,5760.0,196.28998784
10.636,834.5091666666666,4618.085741275767,5797.007676082557,179.0
10.894,845.7866845486926,4691.0,5844.0,160.39811362545683
10.955,848.3325,4712.276670559972,5855.363231789556,156.0
11.034,851.6060268208645,4741.0,5869.0,152.7219881751338
11.194,858.0294852389798,4799.0,5888.0,146.08298226270068
