PARTICLE_SIMULATION_DATA_2D
Width: 1000
Height: 1000
NumBalls: 100
Ball_1 Red 10
Ball_2 Red 10
Ball_3 Red 10
Ball_4 Red 10
Ball_5 Red 10
Ball_6 Red 10
Ball_7 Red 10
Ball_8 Red 10
Ball_9 Red 10
Ball_10 Red 10
Ball_11 Red 10
Ball_12 Red 10
Ball_13 Red 10
Ball_14 Red 10
Ball_15 Red 10
Ball_16 Red 10
Ball_17 Red 10
Ball_18 Red 10
Ball_19 Red 10
Ball_20 Red 10
Ball_21 Red 10
Ball_22 Red 10
Ball_23 Red 10
Ball_24 Red 10
Ball_25 Red 10
Ball_26 Red 10
Ball_27 Red 10
Ball_28 Red 10
Ball_29 Red 10
Ball_30 Red 10
Ball_31 Red 10
Ball_32 Red 10
Ball_33 Red 10
Ball_34 Red 10
Ball_35 Red 10
Ball_36 Red 10
Ball_37 Red 10
Ball_38 Red 10
Ball_39 Red 10
Ball_40 Red 10
Ball_41 Red 10
Ball_42 Red 10
Ball_43 Red 10
Ball_44 Red 10
Ball_45 Red 10
Ball_46 Red 10
Ball_47 Red 10
Ball_48 Red 10
Ball_49 Red 10
Ball_50 Red 10
Ball_51 Blue 10
Ball_52 Blue 10
Ball_53 Blue 10
Ball_54 Blue 10
Ball_55 Blue 10
Ball_56 Blue 10
Ball_57 Blue 10
Ball_58 Blue 10
Ball_59 Blue 10
Ball_60 Blue 10
Ball_61 Blue 10
Ball_62 Blue 10
Ball_63 Blue 10
Ball_64 Blue 10
Ball_65 Blue 10
Ball_66 Blue 10
Ball_67 Blue 10
Ball_68 Blue 10
Ball_69 Blue 10
Ball_70 Blue 10
Ball_71 Blue 10
Ball_72 Blue 10
Ball_73 Blue 10
Ball_74 Blue 10
Ball_75 Blue 10
Ball_76 Blue 10
Ball_77 Blue 10
Ball_78 Blue 10
Ball_79 Blue 10
Ball_80 Blue 10
Ball_81 Blue 10
Ball_82 Blue 10
Ball_83 Blue 10
Ball_84 Blue 10
Ball_85 Blue 10
Ball_86 Blue 10
Ball_87 Blue 10
Ball_88 Blue 10
Ball_89 Blue 10
Ball_90 Blue 10
Ball_91 Blue 10
Ball_92 Blue 10
Ball_93 Blue 10
Ball_94 Blue 10
Ball_95 Blue 10
Ball_96 Blue 10
Ball_97 Blue 10
Ball_98 Blue 10
Ball_99 Blue 10
Ball_100 Blue 10
NumSteps: 100
Step 0 0.1
0 380.513 675.541
1 341.079 420.42
2 154.474 253.87
3 269.571 515.783
4 325.824 143.86
5 489.288 719.336
6 40.4619 765.67
7 286.502 749.225
8 459.806 240.954
9 391.867 735.767
10 171.27 400.699
11 194.472 594.181
12 81.5146 657.284
13 258.028 184.371
14 210.716 610.058
15 94.9175 390.224
16 325.803 620.328
17 230.302 38.1297
18 179.034 197.543
19 283.68 420.202
20 132.532 367.714
21 190.048 423.651
22 112.357 554.016
23 187.235 421.918
24 111.672 594.979
25 107.783 417.763
26 172.794 565.173
27 442.124 690.893
28 200.669 130.986
29 383.05 585.627
30 291.514 285.84
31 214.071 367.194
32 358.638 16.1874
33 171.543 179.062
34 460.933 617.731
35 319.109 379.811
36 368.899 331.291
37 343.139 102.691
38 356.203 418.364
39 407.75 205.491
40 132.275 59.0782
41 95.987 617.361
42 476.877 471.347
43 448.806 386.829
44 478.332 237.509
45 99.989 478.488
46 286.31 29.9962
47 379.662 720.783
48 165.629 782.096
49 481.867 483.478
50 853.14 523.11
51 660.584 44.5143
52 862.232 357.661
53 540.981 653.403
54 901.719 598.719
55 786.219 428.533
56 830.197 385.918
57 752.679 398.632
58 573.563 566.646
59 898.316 546.962
60 741.999 612.271
61 909.033 425.517
62 974.412 411.111
63 621.569 182.503
64 658.666 386.346
65 744.857 242.635
66 789.232 621.799
67 928.02 208.738
68 620.83 30.9611
69 886.045 436.85
70 692.091 626.063
71 875.252 587.408
72 722.413 80.9919
73 888.824 743.109
74 860.51 302.056
75 696.704 183.742
76 900.526 409.109
77 929.224 777.455
78 975.828 352.308
79 554.888 521.58
80 778.188 484.71
81 950.648 434.632
82 522.803 355.07
83 552.945 730.932
84 624.027 481.504
85 555.94 49.4259
86 670.182 756.69
87 905.046 704.726
88 898.165 235.989
89 977.813 46.9926
90 714.885 461.885
91 822.998 174.002
92 595.149 111.357
93 906.029 294.146
94 812.16 97.8808
95 568.008 692.587
96 647.17 634.047
97 513.089 752.117
98 692.46 479.118
99 753.431 246.386
Step 1 0.1
0 371.106 678.934
1 343.337 430.162
2 145.413 258.101
3 269.323 505.786
4 335.052 140.007
5 498.066 724.127
6 31.5582 770.223
7 280.901 740.941
8 451.659 251.733
9 405.792 738.2
10 174.71 410.089
11 185.359 590.062
12 85.1705 647.977
13 264.773 191.754
14 217.742 602.942
15 103.709 385.459
16 326.73 630.285
17 230.789 28.1416
18 175.802 207.006
19 293.437 418.009
20 122.532 367.67
21 169.553 444.475
22 106.297 561.97
23 213.564 417.517
24 101.682 595.419
25 101.605 425.626
26 179.349 557.62
27 447.696 682.589
28 199.19 121.096
29 375.874 592.591
30 289.733 276
31 223.165 363.033
32 349.581 20.4279
33 169.755 169.223
34 465.019 608.604
35 322.466 370.391
36 361.147 324.975
37 352.169 98.3934
38 364.01 412.115
39 404.641 195.986
40 140.055 65.3605
41 88.5514 610.674
42 480.304 457.866
43 440.939 380.656
44 477.354 243.174
45 92.59 485.215
