SCALAR_FUNCTION_CARTESIAN_2D
x1: -10
x2: 10
NumPointsX: 20
y1: -10
y2: 10
NumPointsY: 20
-10 -10 100
-10 -8.94737 89.4737
-10 -7.89474 78.9474
-10 -6.84211 68.4211
-10 -5.78947 57.8947
-10 -4.73684 47.3684
-10 -3.68421 36.8421
-10 -2.63158 26.3158
-10 -1.57895 15.7895
-10 -0.526316 5.26316
-10 0.526316 -5.26316
-10 1.57895 -15.7895
-10 2.63158 -26.3158
-10 3.68421 -36.8421
-10 4.73684 -47.3684
-10 5.78947 -57.8947
-10 6.84211 -68.4211
-10 7.89474 -78.9474
-10 8.94737 -89.4737
-10 10 -100
-8.94737 -10 89.4737
-8.94737 -8.94737 80.0554
-8.94737 -7.89474 70.6371
-8.94737 -6.84211 61.2188
-8.94737 -5.78947 51.8006
-8.94737 -4.73684 42.3823
-8.94737 -3.68421 32.964
-8.94737 -2.63158 23.5457
-8.94737 -1.57895 14.1274
-8.94737 -0.526316 4.70914
-8.94737 0.526316 -4.70914
-8.94737 1.57895 -14.1274
-8.94737 2.63158 -23.5457
-8.94737 3.68421 -32.964
-8.94737 4.73684 -42.3823
-8.94737 5.78947 -51.8006
-8.94737 6.84211 -61.2188
-8.94737 7.89474 -70.6371
-8.94737 8.94737 -80.0554
-8.94737 10 -89.4737
-7.89474 -10 78.9474
-7.89474 -8.94737 70.6371
-7.89474 -7.89474 62.3269
-7.89474 -6.84211 54.0166
-7.89474 -5.78947 45.7064
-7.89474 -4.73684 37.3961
-7.89474 -3.68421 29.0859
-7.89474 -2.63158 20.7756
-7.89474 -1.57895 12.4654
-7.89474 -0.526316 4.15512
-7.89474 0.526316 -4.15512
-7.89474 1.57895 -12.4654
-7.89474 2.63158 -20.7756
-7.89474 3.68421 -29.0859
-7.89474 4.73684 -37.3961
-7.89474 5.78947 -45.7064
-7.89474 6.84211 -54.0166
-7.89474 7.89474 -62.3269
-7.89474 8.94737 -70.6371
-7.89474 10 -78.9474
-6.84211 -10 68.4211
-6.84211 -8.94737 61.2188
-6.84211 -7.89474 54.0166
-6.84211 -6.84211 46.8144
-6.84211 -5.78947 39.6122
-6.84211 -4.73684 32.41
-6.84211 -3.68421 25.2078
-6.84211 -2.63158 18.0055
-6.84211 -1.57895 10.8033
-6.84211 -0.526316 3.60111
-6.84211 0.526316 -3.60111
-6.84211 1.57895 -10.8033
-6.84211 2.63158 -18.0055
-6.84211 3.68421 -25.2078
-6.84211 4.73684 -32.41
-6.84211 5.78947 -39.6122
-6.84211 6.84211 -46.8144
-6.84211 7.89474 -54.0166
-6.84211 8.94737 -61.2188
-6.84211 10 -68.4211
-5.78947 -10 57.8947
-5.78947 -8.94737 51.8006
-5.78947 -7.89474 45.7064
-5.78947 -6.84211 39.6122
-5.78947 -5.78947 33.518
-5.78947 -4.73684 27.4238
-5.78947 -3.68421 21.3296
-5.78947 -2.63158 15.2355
-5.78947 -1.57895 9.14127
-5.78947 -0.526316 3.04709
-5.78947 0.526316 -3.04709
-5.78947 1.57895 -9.14127
-5.78947 2.63158 -15.2355
-5.78947 3.68421 -21.3296
-5.78947 4.73684 -27.4238
-5.78947 5.78947 -33.518
-5.78947 6.84211 -39.6122
-5.78947 7.89474 -45.7064
-5.78947 8.94737 -51.8006
-5.78947 10 -57.8947
-4.73684 -10 47.3684
-4.73684 -8.94737 42.3823
-4.73684 -7.89474 37.3961
-4.73684 -6.84211 32.41
-4.73684 -5.78947 27.4238
-4.73684 -4.73684 22.4377
-4.73684 -3.68421 17.4515
-4.73684 -2.63158 12.4654
-4.73684 -1.57895 7.47922
-4.73684 -0.526316 2.49307
-4.73684 0.526316 -2.49307
-4.73684 1.57895 -7.47922
-4.73684 2.63158 -12.4654
-4.73684 3.68421 -17.4515
-4.73684 4.73684 -22.4377
-4.73684 5.78947 -27.4238
-4.73684 6.84211 -32.41
-4.73684 7.89474 -37.3961
-4.73684 8.94737 -42.3823
-4.73684 10 -47.3684
-3.68421 -10 36.8421
-3.68421 -8.94737 32.964
-3.68421 -7.89474 29.0859
-3.68421 -6.84211 25.2078
-3.68421 -5.78947 21.3296
-3.68421 -4.73684 17.4515
-3.68421 -3.68421 13.5734
-3.68421 -2.63158 9.69529
-3.68421 -1.57895 5.81717
-3.68421 -0.526316 1.93906
-3.68421 0.526316 -1.93906
-3.68421 1.57895 -5.81717
-3.68421 2.63158 -9.69529
-3.68421 3.68421 -13.5734
-3.68421 4.73684 -17.4515
-3.68421 5.78947 -21.3296
-3.68421 6.84211 -25.2078
-3.68421 7.89474 -29.0859
-3.68421 8.94737 -32.964
-3.68421 10 -36.8421
-2.63158 -10 26.3158
-2.63158 -8.94737 23.5457
-2.63158 -7.89474 20.7756
-2.63158 -6.84211 18.0055
-2.63158 -5.78947 15.2355
-2.63158 -4.73684 12.4654
-2.63158 -3.68421 9.69529
-2.63158 -2.63158 6.92521
-2.63158 -1.57895 4.15512
-2.63158 -0.526316 1.38504
-2.63158 0.526316 -1.38504
-2.63158 1.57895 -4.15512
-2.63158 2.63158 -6.92521
-2.63158 3.68421 -9.69529
-2.63158 4.73684 -12.4654
-2.63158 5.78947 -15.2355
-2.63158 6.84211 -18.0055
-2.63158 7.89474 -20.7756
-2.63158 8.94737 -23.5457
-2.63158 10 -26.3158
-1.57895 -10 15.7895
-1.57895 -8.94737 14.1274
-1.57895 -7.89474 12.4654
-1.57895 -6.84211 10.8033
-1.57895 -5.78947 9.14127
-1.57895 -4.73684 7.47922
-1.57895 -3.68421 5.81717
-1.57895 -2.63158 4.15512
-1.57895 -1.57895 2.49307
-1.57895 -0.526316 0.831025
-1.57895 0.526316 -0.831025
-1.57895 1.57895 -2.49307
-1.57895 2.63158 -4.15512
-1.57895 3.68421 -5.81717
-1.57895 4.73684 -7.47922
-1.57895 5.78947 -9.14127
-1.57895 6.84211 -10.8033
-1.57895 7.89474 -12.4654
-1.57895 8.94737 -14.1274
-1.57895 10 -15.7895
-0.526316 -10 5.26316
-0.526316 -8.94737 4.70914
-0.526316 -7.89474 4.15512
-0.526316 -6.84211 3.60111
-0.526316 -5.78947 3.04709
-0.526316 -4.73684 2.49307
-0.526316 -3.68421 1.93906
-0.526316 -2.63158 1.38504
-0.526316 -1.57895 0.831025
-0.526316 -0.526316 0.277008
-0.526316 0.526316 -0.277008
-0.526316 1.57895 -0.831025
-0.526316 2.63158 -1.38504
-0.526316 3.68421 -1.93906
-0.526316 4.73684 -2.49307
-0.526316 5.78947 -3.04709
-0.526316 6.84211 -3.60111
-0.526316 7.89474 -4.15512
-0.526316 8.94737 -4.70914
-0.526316 10 -5.26316
0.526316 -10 -5.26316
0.526316 -8.94737 -4.70914
0.526316 -7.89474 -4.15512
0.526316 -6.84211 -3.60111
0.526316 -5.78947 -3.04709
0.526316 -4.73684 -2.49307
0.526316 -3.68421 -1.93906
0.526316 -2.63158 -1.38504
0.526316 -1.57895 -0.831025
0.526316 -0.526316 -0.277008
0.526316 0.526316 0.277008
0.526316 1.57895 0.831025
0.526316 2.63158 1.38504
0.526316 3.68421 1.93906
0.526316 4.73684 2.49307
0.526316 5.78947 3.04709
0.526316 6.84211 3.60111
0.526316 7.89474 4.15512
0.526316 8.94737 4.70914
0.526316 10 5.26316
1.57895 -10 -15.7895
1.57895 -8.94737 -14.1274
1.57895 -7.89474 -12.4654
1.57895 -6.84211 -10.8033
